run,day,n_players,converged,vstar_is_lower_bound,cost_of_stability_vstar,weak_eps,time_rowgen_s,n_coalitions
community_size_1000_6p,1,6,True,False,-7.105427357601002e-14,-1.1842378929335004e-14,5.25,17
community_size_1000_6p,2,6,True,False,-8.79296635503124e-14,-1.4654943925052066e-14,2.33,13
community_size_1000_6p,3,6,True,False,-6.394884621840902e-14,-1.0658141036401503e-14,3.41,17
community_size_1000_6p,4,6,True,False,-7.105427357601002e-14,-1.1842378929335004e-14,2.67,17
community_size_1000_6p,5,6,True,False,-7.105427357601002e-14,-1.1842378929335004e-14,2.9,17
community_size_1000_6p,6,6,True,False,-4.973799150320701e-14,-8.289665250534503e-15,3.28,14
community_size_1000_6p,7,6,True,False,5.684341886080802e-14,9.473903143468002e-15,3.42,18
community_size_1000_6p,8,6,True,False,-7.105427357601002e-14,-1.1842378929335004e-14,4.84,17
community_size_1000_6p,9,6,True,False,-4.973799150320701e-14,-8.289665250534503e-15,2.62,14
community_size_1000_6p,10,6,True,False,2.1316282072803006e-13,3.552713678800501e-14,3.99,17
community_size_1000_6p,11,6,True,False,-8.79296635503124e-14,-1.4654943925052066e-14,1.58,13
community_size_1000_6p,12,6,True,False,-8.79296635503124e-14,-1.4654943925052066e-14,2.85,13
community_size_1000_6p,13,6,True,False,-7.105427357601002e-14,-1.1842378929335004e-14,3.18,17
community_size_1000_6p,14,6,True,False,-5.684341886080802e-14,-9.473903143468002e-15,3.59,21
community_size_1000_6p,15,6,True,False,-7.105427357601002e-14,-1.1842378929335004e-14,2.88,17
community_size_1000_6p,16,6,True,False,-7.105427357601002e-14,-1.1842378929335004e-14,5.07,17
community_size_1000_6p,17,6,True,False,-6.394884621840902e-14,-1.0658141036401503e-14,3.6,17
community_size_1000_6p,18,6,True,False,-8.79296635503124e-14,-1.4654943925052066e-14,1.58,13
community_size_1000_6p,19,6,True,False,1.5631940186722204e-13,2.6053233644537006e-14,3.88,17
community_size_1000_6p,20,6,True,False,5.684341886080802e-14,9.473903143468002e-15,6.83,18
community_size_1000_6p,21,6,True,False,1.5631940186722204e-13,2.6053233644537006e-14,2.95,18
community_size_1000_6p,22,6,True,False,-7.105427357601002e-14,-1.1842378929335004e-14,3.84,17
community_size_1000_6p,23,6,True,False,-7.105427357601002e-14,-1.1842378929335004e-14,5.59,17
community_size_1000_6p,24,6,True,False,-8.79296635503124e-14,-1.4654943925052066e-14,2.3,14
community_size_1000_6p,25,6,True,False,1.5631940186722204e-13,2.6053233644537006e-14,2.7,17
community_size_1000_6p,26,6,True,False,-8.79296635503124e-14,-1.4654943925052066e-14,2.77,15
community_size_1000_6p,27,6,True,False,-7.105427357601002e-14,-1.1842378929335004e-14,3.53,17
community_size_1000_6p,28,6,True,False,-5.684341886080802e-14,-9.473903143468002e-15,3.2,18
community_size_1000_6p,29,6,True,False,-7.105427357601002e-14,-1.1842378929335004e-14,2.84,17
community_size_1000_6p,30,6,True,False,-7.105427357601002e-14,-1.1842378929335004e-14,2.98,17
community_size_1000_6p,31,6,True,False,-7.105427357601002e-14,-1.1842378929335004e-14,2.94,17
