method,violation,time,u1,u2,u3,u4,u5,u6,total_cost,total_profit
ip,0.6565772980575275,0.18596863746643066,-1177.082094925848,-74.80383024164536,-598.7982695470383,-68.15715160049058,-44.41230062126181,-67.36094946046978,-2030.6145963967538,2030.6145963967538
lp,-0.0,0.09071040153503418,-1189.0518821215019,-78.98480166831371,-593.541679048832,-60.1828184339912,-41.49246566364525,-67.36094946046978,-2030.6145963967538,2030.6145963967538
pca,215.620499106627,0.18596863746643066,-1045.8227591876566,-103.66869639267604,-881.1231026887242,-0.0,-0.0,-0.0,-2030.614558269057,2030.614558269057
chp,-0.0,38.13821578025818,-1196.361262709477,-77.49339811010628,-591.7226060199444,-55.57756791376721,-42.09881218298989,-67.3609494604691,-2030.6145963967538,2030.6145963967538
rowgen,-0.0,3.481717348098755,-1287.7698577554886,-107.63070798689967,-635.2139925266706,0.0,-8.171241461241152e-14,0.0,-2030.6145582690588,2030.6145582690588
