scenario,run_id,use_korean_price,use_tou_elec,import_factor,month,hp_cap,els_cap,num_households,nu_cop,c_su_G,c_su_H,base_h2_price_eur,e_E_cap_ratio,e_H_cap_ratio,e_G_cap_ratio,eff_type,segments,peak_penalty_ratio,wind_el_ratio,solar_el_ratio,storage_power_ratio_E,storage_power_ratio_G,storage_power_ratio_H,storage_capacity_ratio_E,storage_capacity_ratio_G,storage_capacity_ratio_H,initial_soc_ratio_E,initial_soc_ratio_G,initial_soc_ratio_H,day,solve_time_ip,profit_ip_u1,profit_ip_u2,profit_ip_u3,profit_ip_u4,profit_ip_u5,profit_ip_u6,violation_ip,blocking_coalition_ip,isimp_ip,solve_time_chp,profit_chp_u1,profit_chp_u2,profit_chp_u3,profit_chp_u4,profit_chp_u5,profit_chp_u6,violation_chp,blocking_coalition_chp,isimp_chp,chp_price_electricity_0,chp_price_electricity_1,chp_price_electricity_2,chp_price_electricity_3,chp_price_electricity_4,chp_price_electricity_5,chp_price_electricity_6,chp_price_electricity_7,chp_price_electricity_8,chp_price_electricity_9,chp_price_electricity_10,chp_price_electricity_11,chp_price_electricity_12,chp_price_electricity_13,chp_price_electricity_14,chp_price_electricity_15,chp_price_electricity_16,chp_price_electricity_17,chp_price_electricity_18,chp_price_electricity_19,chp_price_electricity_20,chp_price_electricity_21,chp_price_electricity_22,chp_price_electricity_23,chp_price_heat_0,chp_price_heat_1,chp_price_heat_2,chp_price_heat_3,chp_price_heat_4,chp_price_heat_5,chp_price_heat_6,chp_price_heat_7,chp_price_heat_8,chp_price_heat_9,chp_price_heat_10,chp_price_heat_11,chp_price_heat_12,chp_price_heat_13,chp_price_heat_14,chp_price_heat_15,chp_price_heat_16,chp_price_heat_17,chp_price_heat_18,chp_price_heat_19,chp_price_heat_20,chp_price_heat_21,chp_price_heat_22,chp_price_heat_23,chp_price_hydrogen_0,chp_price_hydrogen_1,chp_price_hydrogen_2,chp_price_hydrogen_3,chp_price_hydrogen_4,chp_price_hydrogen_5,chp_price_hydrogen_6,chp_price_hydrogen_7,chp_price_hydrogen_8,chp_price_hydrogen_9,chp_price_hydrogen_10,chp_price_hydrogen_11,chp_price_hydrogen_12,chp_price_hydrogen_13,chp_price_hydrogen_14,chp_price_hydrogen_15,chp_price_hydrogen_16,chp_price_hydrogen_17,chp_price_hydrogen_18,chp_price_hydrogen_19,chp_price_hydrogen_20,chp_price_hydrogen_21,chp_price_hydrogen_22,chp_price_hydrogen_23
full_storage,0,True,False,1.5,1,0.8,1,700,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,3.0,3.0,0.2,0.2,0.2,1,0.2741396427154541,1140.1736182143359,67.19576840645654,497.5183834734805,156.7623120547056,126.15980672164358,134.72189892093945,-0.0,,True,27.377098321914673,1160.816414698426,75.9854308214013,489.63188618476556,142.85299421413436,118.52316295189559,134.7218989209391,-0.0,,True,71.20000000000014,71.1999999999998,66.1012871186102,61.80716056622944,61.807160566240256,64.94215876253064,53.160000000000295,67.64732255903405,68.31320903202217,75.99999999999994,71.19999999999979,71.20000000000033,1.6342482922482304e-13,6.850000000000094,71.20000000000007,71.1999999999998,71.20000000000013,71.19999999999979,71.19999999999965,64.66666666666664,64.67999999999996,65.0866666666667,65.08666666666669,64.71999999999997,45.99771428571474,45.99771428571424,45.99771428571394,45.99771428571441,45.997714285714544,45.99771428571443,68.9965714285715,68.99657142857134,68.99657142857134,68.99657142857134,45.99771428571501,45.997714285713904,45.997714285714366,45.99771428571446,45.997714285714764,45.99771428571416,45.997714285714366,68.99657142857109,68.99657142857136,68.99657142857131,68.99657142857146,68.99657142857141,68.99657142857129,45.997714285714714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8923935712665463,4.383064177880311,4.383064177880128,3.333333333333335,3.3333333333333663,3.832301778494412,3.8323017784935787,3.8323017784934046,3.8323017784941875,3.832301778493114,3.3333333333337234,3.333333333333883,0.0,0.0,0.0
full_storage,1,True,False,1.5,1,0.8,1,700,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,3.0,3.0,0.2,0.2,0.2,2,0.17806386947631836,1208.712450048046,92.56458567183702,456.49765413546845,68.07877995572608,79.35276949245133,134.72189892093945,-0.0,,True,26.760849475860596,1205.8768565833934,93.78025284697767,456.7747606086906,68.36994931243282,80.4044199520365,134.72189892093797,-0.0,,True,61.80716056624505,61.80716056624341,61.807160566243326,61.80716056624651,61.80716056624646,55.87498989097784,53.16,57.67199999999961,61.80716056624209,65.89111389361082,71.19999999999989,71.19999999999926,2.666190505491578e-13,6.849999999999814,71.20000000000068,71.32999999999964,84.92000000000081,96.78000000000078,96.7800000000004,96.99999999999994,97.01999999999992,97.63000000000103,97.62999999999963,97.0799999999997,45.99771428571381,45.997714285714565,45.997714285715034,45.99771428571466,45.99771428571358,45.997714285714785,68.99657142857141,68.99657142857133,68.99657142857143,68.99657142857114,45.997714285714714,45.99771428571541,45.99771428571552,45.99771428571356,45.997714285715254,45.99771428571377,45.99771428571403,68.99657142857149,68.99657142857154,68.99657142857137,68.99657142857176,68.9965714285713,68.99657142857116,45.99771428571532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.550281984082997,4.383064177880157,4.38306417788018,3.3333333333333077,3.3333333333333073,3.8323017784935587,3.839207666572049,4.561138581877263,4.954107584379654,4.954107584379675,4.954107584379606,4.955118740582536,0.0,0.0,0.0
full_storage,2,True,False,1.5,1,0.8,1,700,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,3.0,3.0,0.2,0.2,0.2,3,0.1567821502685547,958.0852436300094,72.31492353490927,467.9611551320289,90.65282456194791,120.5026527174312,134.72189892093957,-0.0,,True,17.6564359664917,953.9961991686932,76.10129243970167,468.8217571404425,92.647753564926,117.9497972625636,134.7218989209391,-0.0,,True,81.98999999999941,78.60999999999964,78.60999999999962,78.60999999999957,78.60999999999996,78.61000000000053,79.73999999999992,79.74000000000024,77.32000000000025,75.9999999999998,71.20000000000074,71.20000000000026,0.050000000000437694,6.849999999999511,71.19999999999972,71.32999999999788,64.58939999999994,64.58940000000023,76.52591786095218,64.94215876253841,79.73999999999987,65.08666666666667,65.08666666666666,64.72000000000004,45.99771428571445,45.99771428571441,45.99771428571378,45.99771428571441,45.99771428571436,45.99771428571416,68.9965714285714,68.99657142857156,68.99657142857191,68.99657142857009,45.9977142857143,45.99771428571412,45.99771428571436,45.9977142857146,45.997714285714274,45.997714285714416,45.99771428571415,68.9965714285714,68.99657142857463,68.9965714285706,68.99657142857215,68.99657142857122,68.99657142857006,45.99771428571456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8923935712667417,4.3830641778798745,4.3830641778800645,3.3333333333332913,3.33333333333339,3.83230177849409,3.839207666571301,3.4811320574696847,3.4811320574693547,4.115226337448308,3.3333333333334605,4.081479781221121,0.0,0.0,0.0
full_storage,3,True,False,1.5,1,0.8,1,700,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,3.0,3.0,0.2,0.2,0.2,4,0.48839402198791504,1244.7484155087066,74.98625363587372,474.65590311838116,107.86997085615803,96.05936198280233,134.72189892093957,-0.0,,True,42.990468978881836,1219.5968033859472,82.80860701901855,480.45895522086266,120.6527303768222,94.80280909927001,134.72189892094093,3.3431588192245343e-09,,True,57.19280791470664,57.192807914701966,61.8071605662564,61.80716056623344,61.80716056624692,61.80716056624617,53.159999999999314,65.17821083571245,68.31320903201053,76.00000000000007,71.20000000000053,71.20000000000005,2.218245309853319e-13,6.849999999998638,71.19999999999985,71.32999999999991,84.91999999999999,85.70513962480388,85.70513962480123,85.7051396248025,85.70513962480373,65.08666666666637,65.08666666666706,64.72000000000088,45.997714285714956,45.99771428571411,45.997714285713876,45.99771428571402,45.997714285715354,45.99771428571432,68.99657142857158,68.99657142857131,68.99657142857147,68.99657142857167,45.99771428571531,45.99771428571354,45.99771428571238,45.99771428571376,45.99771428571335,45.99771428571452,45.99771428571336,68.99657142857119,68.99657142857149,68.99657142857127,68.99657142857143,68.99657142857134,68.99657142857141,45.99771428571461,0.0,3.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8923935712664037,4.383064177879993,4.383064177879695,3.3333333333333504,3.3333333333333433,3.8323017784925146,3.8392076665716233,4.383064177879349,4.383064177879576,4.383064177879222,4.383064177879514,4.383064177879581,0.0,0.0,0.0
full_storage,4,True,False,1.5,1,0.8,1,700,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,3.0,3.0,0.2,0.2,0.2,5,0.16086363792419434,1145.6450044374756,74.02051877443336,482.86407453039124,129.84506103833348,112.12270811087086,134.72189892093945,-0.0,,True,33.08780121803284,1160.2204620141426,76.51040534000688,478.25558584016994,120.6475044841261,108.86340921305975,134.72189892093854,9.089811346570109e-06,"['u1', 'u2', 'u3', 'u4', 'u5', 'u6']",True,76.52591786095601,64.09782214397778,76.5259178609558,76.5259178609563,76.52591786095601,57.192807914713086,53.160000000000586,67.64732255903489,68.31320903201538,75.99999999999966,71.20000000000005,71.20000000000039,9.237055564881302e-14,6.850000000000172,71.2,71.32999999999879,76.52591786095596,76.52591786095586,76.52591786095597,76.52591786095594,64.67999999999998,65.08666666666664,65.08666666666666,64.72000000000004,45.9977142857145,45.997714285714835,45.99771428571441,45.99771428571428,45.99771428571439,45.99771428571446,68.99657142857139,68.99657142857207,68.99657142857045,68.99657142857158,45.99771428571439,45.99771428571423,45.99771428571468,45.99771428571398,45.997714285714636,45.99771428571379,45.99771428571419,68.9965714285724,68.99657142857215,68.99657142857092,68.99657142857166,68.99657142857129,68.99657142857136,45.997714285714416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8923935712664486,4.383064177880254,4.383064177880232,3.3333333333333357,3.3333333333333326,3.832301778493525,3.8392076665720465,4.115226337448603,4.11522633744855,4.115226337448526,3.9057286536891263,3.333333333333491,0.0,0.0,0.0
full_storage,5,True,False,1.5,1,0.8,1,700,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,3.0,3.0,0.2,0.2,0.2,6,0.15283966064453125,1310.423069598865,84.99337257744563,503.3490419483185,168.28266568434015,126.50406772801688,134.72189892093945,-0.0,,True,31.68500018119812,1312.7266747387807,87.4046758501432,502.58393124061763,166.6945412616434,124.14239444580056,134.7218989209398,-0.0,,True,61.80716056624369,57.19280791470589,57.192807914710514,57.19280791470824,57.192807914710976,57.08119237697426,53.16000000000028,57.192807914705405,61.80716056624328,62.146181277088715,71.1999999999999,71.2000000000013,0.04999999999960294,6.849999999999668,71.19999999999841,71.32999999999969,71.32999999999971,71.32999999999946,71.32999999999906,71.32999999999956,71.32999999999926,65.08666666666682,65.08666666666657,64.71999999999986,45.99771428571451,45.99771428571424,45.99771428571415,45.99771428571417,45.99771428571422,45.99771428571422,68.99657142857144,68.9965714285714,68.99657142857143,68.99657142857133,45.99771428571419,45.99771428571397,45.997714285714004,45.99771428571432,45.99771428571432,45.99771428571415,45.997714285714096,68.9965714285716,68.99657142857133,68.9965714285714,68.99657142857154,68.99657142857134,68.99657142857139,45.99771428571461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3513428647599737,4.137460326864054,4.137460326864186,3.333333333333329,3.333333333333342,3.8323017784935094,3.839207666571888,3.839207666572038,3.8392076665723347,3.839207666572036,3.656288597874163,3.656288597874077,0.0,0.0,0.0
full_storage,6,True,False,1.5,1,0.8,1,700,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,3.0,3.0,0.2,0.2,0.2,7,0.20172548294067383,1311.0156201804925,72.97096787887807,475.255270227113,109.54404128921396,107.86544191911912,134.72189892093945,-0.0,,True,32.70190238952637,1291.9479916110956,75.65031329109587,479.3754749306752,118.02837944561941,111.64918221633104,134.72189892093922,2.7586474771190694e-12,,True,61.80716056623675,61.80716056623939,61.8071605662422,61.807160566247745,61.807160566242125,61.62083227668989,53.160000000000174,61.80716056623562,61.8071605662366,62.146181277090186,71.19999999999983,71.20000000000002,1.2338532511961208e-12,6.850000000000375,71.20000000000086,71.33000000000037,76.9444619484066,80.847258116572,80.84725811657295,80.84725811657319,80.8472581165727,80.84725811657393,80.84725811657336,80.84725811657248,45.99771428571443,45.997714285714466,45.997714285714544,45.99771428571447,45.99771428571437,45.99771428571461,68.9965714285715,68.99657142857134,68.99657142857149,68.9965714285715,45.99771428571425,45.997714285714494,45.997714285714395,45.997714285714366,45.99771428571403,45.99771428571437,45.99771428571401,68.99657142857156,68.99657142857207,68.99657142857163,68.9965714285713,68.99657142857126,68.99657142857092,45.99771428571421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3513428647597068,4.13746032686368,4.137460326863728,3.333333333333387,3.333333333333308,3.832301778493786,3.8392076665730213,4.137460326863561,4.137460326863548,4.1374603268637244,4.137460326863888,4.1374603268636845,0.0,0.0,0.0
full_storage,7,True,False,1.5,1,0.8,1,700,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,3.0,3.0,0.2,0.2,0.2,8,0.24612641334533691,1317.8991079282912,68.16919662317976,494.7682298863433,153.6578789187007,129.16720602034258,134.72189892093945,-0.0,,True,28.403900861740112,1301.6366574286178,74.15781716882397,498.3785088829302,160.32142987614145,129.16720602034349,134.7218989209398,-0.0,,True,70.81270326319815,67.32697623520572,67.32697623520747,61.80716056625397,61.09153031398479,57.19280791470343,53.159999999999755,57.1928079147294,61.80716056624614,61.807160566233556,70.81270326319829,70.8127032631983,5.263961128914483e-13,6.850000000000342,70.81270326319837,70.81270326319864,70.8127032631985,70.81270326319844,70.81270326319854,65.20431752508352,64.67999999999999,65.08666666666672,65.08666666666669,64.72,45.9977142857144,45.997714285714245,45.99771428571508,45.997714285713805,45.99771428571437,45.99771428571453,68.99657142856991,68.9965714285701,68.99657142857144,68.99657142856917,45.9977142857134,45.99771428571377,45.997714285713705,45.997714285714295,45.99771428571503,45.99771428571385,45.997714285714146,68.99657142857144,68.99657142857467,68.9965714285727,68.99657142857198,68.99657142857264,68.99657142856921,45.99771428571434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333332638,4.115226337448773,4.115226337448576,3.333333333333368,3.333333333333321,3.8117277175887234,3.8117277175885786,3.811727717589464,3.8117277175885103,3.8117277175890125,3.3333333333334036,3.333333333333871,0.0,0.0,0.0
full_storage,8,True,False,1.5,1,0.8,1,700,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,3.0,3.0,0.2,0.2,0.2,9,0.23463726043701172,1350.0754547471126,77.71389367079195,502.1415625227752,167.55986355395908,129.1672060203427,134.72189892093945,-0.0,,True,34.28589200973511,1348.5835870139906,79.2672757448392,502.1904564310389,167.44945530477048,129.16720602034167,134.72189892094025,-0.0,,True,61.80716056624308,61.8071605662431,61.807160566243304,61.807160566243226,61.80716056624359,57.35828964319427,53.159999999999016,57.358289643194325,61.80716056624333,61.80716056624418,70.81270326320234,70.81270326320252,9.92860368204269e-14,6.849999999999964,70.81270326320261,70.81270326320224,70.81270326320232,70.81270326320262,70.81270326320237,64.66666666666666,64.67999999999995,65.0866666666667,65.08666666666669,64.72,45.997714285714906,45.99771428571527,45.9977142857134,45.997714285713904,45.99771428571377,45.99771428571367,68.99657142857133,68.99657142857146,68.99657142857126,68.99657142857144,45.9977142857137,45.9977142857142,45.997714285714636,45.99771428571464,45.997714285714544,45.99771428571481,45.99771428571334,68.9965714285714,68.99657142857177,68.9965714285713,68.99657142857136,68.99657142857149,68.99657142857157,45.99771428571388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333477,4.115226337448568,4.115226337448582,3.3333333333333353,3.3333333333333304,3.8117277175890902,3.8117277175890365,3.811727717589035,3.811727717589004,3.811727717589055,3.3333333333333366,3.3333333333333406,0.0,0.0,0.0
full_storage,9,True,False,1.5,1,0.8,1,700,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,3.0,3.0,0.2,0.2,0.2,10,0.2070770263671875,983.1339432998604,67.97578410103951,470.87315059703053,98.01473465467336,101.83143580073954,134.72189892093945,-0.0,,True,30.51068925857544,973.7983596128029,78.16470950902922,472.83607096174387,102.22709927054291,94.80280909922419,134.72189892093968,-0.0,,True,61.80716056624368,61.807160566243844,61.80716056624329,61.80716056624362,64.94215876253546,64.94215876253543,61.80716056624322,79.74000000000001,77.32000000000002,75.99999999999997,71.20000000000017,71.19999999999993,4.618527782440651e-14,6.850000000000012,71.19999999999993,71.3299999999999,84.92000000000017,85.70513962481772,85.70513962481763,85.70513962481746,85.70513962481768,65.08666666666669,65.0866666666667,64.71999999999997,45.99771428571464,45.997714285714395,45.99771428571443,45.99771428571478,45.99771428571419,45.99771428571407,68.99657142857161,68.99657142857154,68.99657142857149,68.99657142857147,45.997714285714146,45.9977142857142,45.99771428571383,45.99771428571429,45.997714285714274,45.99771428571424,45.99771428571421,68.99657142857139,68.99657142857157,68.99657142857133,68.99657142857136,68.9965714285715,68.99657142857136,45.99771428571392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.892393571266478,4.383064177880209,4.3830641778801525,3.3333333333333313,3.3333333333333357,3.832301778493406,3.8392076665721655,4.383064177880193,4.38306417788017,4.383064177880163,4.383064177880225,4.383064177880162,0.0,0.0,0.0
