scenario,run_id,use_korean_price,use_tou_elec,import_factor,month,hp_cap,els_cap,num_households,nu_cop,c_su_G,c_su_H,base_h2_price_eur,e_E_cap_ratio,e_H_cap_ratio,e_G_cap_ratio,eff_type,segments,peak_penalty_ratio,wind_el_ratio,solar_el_ratio,storage_power_ratio_E,storage_power_ratio_G,storage_power_ratio_H,storage_capacity_ratio_E,storage_capacity_ratio_G,storage_capacity_ratio_H,initial_soc_ratio_E,initial_soc_ratio_G,initial_soc_ratio_H,day,solve_time_ip,profit_ip_u1,profit_ip_u2,profit_ip_u3,profit_ip_u4,profit_ip_u5,profit_ip_u6,violation_ip,blocking_coalition_ip,isimp_ip,solve_time_chp,profit_chp_u1,profit_chp_u2,profit_chp_u3,profit_chp_u4,profit_chp_u5,profit_chp_u6,violation_chp,blocking_coalition_chp,isimp_chp,chp_price_electricity_0,chp_price_electricity_1,chp_price_electricity_2,chp_price_electricity_3,chp_price_electricity_4,chp_price_electricity_5,chp_price_electricity_6,chp_price_electricity_7,chp_price_electricity_8,chp_price_electricity_9,chp_price_electricity_10,chp_price_electricity_11,chp_price_electricity_12,chp_price_electricity_13,chp_price_electricity_14,chp_price_electricity_15,chp_price_electricity_16,chp_price_electricity_17,chp_price_electricity_18,chp_price_electricity_19,chp_price_electricity_20,chp_price_electricity_21,chp_price_electricity_22,chp_price_electricity_23,chp_price_heat_0,chp_price_heat_1,chp_price_heat_2,chp_price_heat_3,chp_price_heat_4,chp_price_heat_5,chp_price_heat_6,chp_price_heat_7,chp_price_heat_8,chp_price_heat_9,chp_price_heat_10,chp_price_heat_11,chp_price_heat_12,chp_price_heat_13,chp_price_heat_14,chp_price_heat_15,chp_price_heat_16,chp_price_heat_17,chp_price_heat_18,chp_price_heat_19,chp_price_heat_20,chp_price_heat_21,chp_price_heat_22,chp_price_heat_23,chp_price_hydrogen_0,chp_price_hydrogen_1,chp_price_hydrogen_2,chp_price_hydrogen_3,chp_price_hydrogen_4,chp_price_hydrogen_5,chp_price_hydrogen_6,chp_price_hydrogen_7,chp_price_hydrogen_8,chp_price_hydrogen_9,chp_price_hydrogen_10,chp_price_hydrogen_11,chp_price_hydrogen_12,chp_price_hydrogen_13,chp_price_hydrogen_14,chp_price_hydrogen_15,chp_price_hydrogen_16,chp_price_hydrogen_17,chp_price_hydrogen_18,chp_price_hydrogen_19,chp_price_hydrogen_20,chp_price_hydrogen_21,chp_price_hydrogen_22,chp_price_hydrogen_23,violation_bf,blocking_coalition_bf,isimp_bf
community_size,0,True,False,1.5,1,0.8,1,350,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,1,0.47336697578430176,1100.877827455747,78.33687257189416,390.1965384118853,85.46002571441875,136.0032534306137,148.98192823240902,-0.0,,True,17.863881587982178,1081.904894860051,86.5517048221705,395.8983277818794,90.51633668984391,136.0032534306132,148.9819282324097,-0.0,,True,65.08666666666691,65.08666666666689,65.08666666666699,64.50863505014178,64.94215876253523,57.67199999999992,53.15999999999984,57.671999999999926,61.80716056624357,61.807160566243425,71.20000000000027,71.19999999999987,6.750155989720952e-14,6.850000000000006,57.192807914709796,57.1928079147095,57.19280791470964,64.52000000000004,64.52000000000004,64.66666666666663,64.67999999999999,65.0866666666667,65.08666666666676,64.72000000000001,45.997714285714586,45.997714285714174,45.997714285714636,45.99771428571372,45.997714285713954,45.99771428571523,68.99657142857109,45.99771428571322,45.9977142857144,45.997714285714146,45.99771428571341,45.99771428571394,45.997714285714814,45.997714285714494,45.99771428571406,45.997714285714125,45.99771428571331,45.997714285714565,45.997714285714245,45.997714285714125,68.99657142857154,68.99657142857146,45.99771428571405,45.99771428571519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333317,4.383064177880163,4.594737640375626,3.333333333333335,3.3333333333333357,3.3333333333333313,3.333333333333332,3.3333333333333335,3.477445375679767,3.477445375679761,3.3333333333333335,3.333333333333334,0.0,0.0,0.0,,,
community_size,1,True,False,1.5,1,0.8,1,350,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,2,0.13124918937683105,1120.8711624329126,102.81398603456091,363.20534987250664,52.76956273039269,100.23424491027214,148.98192823240902,-0.0,,True,18.83842635154724,1117.106806277044,108.28531274343607,363.9922392217144,53.487612264106986,97.02233547434247,148.98192823241038,-0.0,,True,57.192807914707736,57.19280791470586,57.1928079147148,57.192807914712546,57.19280791470553,53.16000000000006,53.16,53.159999999999734,57.19280791471157,57.19280791471193,70.60840483297804,70.60840483297716,1.5451785884098919e-12,6.849999999999562,57.192807914711395,57.192807914711985,57.19280791471102,93.18135374707676,96.77999999999997,97.0,97.01999999999977,97.00000000000007,97.00000000000003,97.00000000000037,45.997714285714075,45.99771428571463,45.9977142857151,45.99771428571423,45.99771428571397,45.99771428571402,68.99657142857103,45.997714285712895,45.99771428571406,45.997714285713776,45.99771428571464,45.997714285714665,45.99771428571406,45.99771428571424,45.99771428571396,45.99771428571361,45.99771428571405,45.99771428571433,45.99771428571449,45.997714285714,68.99657142857154,68.99657142857146,45.99771428571389,45.997714285714686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333326,4.3470610904362,4.556975774878427,3.333333333333377,3.333333333333296,3.333333333333398,3.3333333333333854,3.3333333333334196,4.999999999999995,5.00000000000001,4.954107584379587,4.955118740582571,0.0,0.0,0.0,,,
community_size,2,True,False,1.5,1,0.8,1,350,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,3,0.13512563705444336,888.0473800089707,80.71679877222427,371.2807204245398,65.47509885313832,134.38502407237678,148.98192823240902,-0.0,,True,18.274941205978394,889.4048916022006,81.97335165580067,370.62078700745906,64.77752067698799,133.12847118880046,148.98192823241004,-0.0,,True,78.61,78.6099999999992,78.6099999999999,78.60999999999987,78.60999999999999,78.60999999999984,63.674100000000166,75.9999999999998,64.94215876253425,76.0,71.19999999999979,71.19999999999996,3.339550858072471e-13,6.850000000000222,61.807160566242345,57.19280791471013,57.192807914710016,64.52000000000002,64.51999999999998,64.66666666666659,64.68000000000004,65.08666666666673,65.08666666666687,64.71999999999998,45.99771428571532,45.99771428571487,45.99771428571277,45.99771428571342,45.99771428571428,45.99771428571422,68.99657142857114,45.99771428571424,45.99771428571427,45.99771428571379,45.997714285714316,45.997714285713215,45.997714285714544,45.997714285714146,45.99771428571428,45.99771428571413,45.997714285715645,45.9977142857145,45.997714285714956,45.997714285712604,68.99657142857058,68.99657142857129,45.99771428571527,45.997714285714466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8923935712664557,4.38306417788011,4.594737640375709,3.333333333333322,3.333333333333327,3.333333333333332,3.3333333333333357,3.3333333333333095,3.47744537567966,3.477445375679725,3.333333333333329,3.3333333333333073,0.0,0.0,0.0,,,
community_size,3,True,False,1.5,1,0.8,1,350,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,4,0.17533016204833984,1076.0125206419439,101.64989805633428,401.6286498043495,95.56054197448691,134.1373367206628,148.98192823240902,-0.0,,True,28.56367588043213,1072.0180016623544,103.82815554867716,402.55850440485995,96.44694886122363,134.1373367206619,148.98192823240936,-0.0,,True,54.66000000000006,53.9510433578899,53.951043357889134,53.95104335789765,57.19280791471072,53.95104335789146,53.16000000000024,53.95104335789201,61.807160566244,67.32697623520627,71.2000000000001,71.1999999999987,4.227729277772596e-13,6.849999999999682,61.80716056624337,61.80716056624608,65.08666666666664,65.08666666666667,65.08666666666655,64.94215876253827,64.94215876253756,65.0866666666667,65.08666666666672,64.72000000000001,45.99771428571442,45.9977142857138,45.99771428571452,45.997714285714366,45.99771428571472,45.9977142857141,68.9965714285713,45.9977142857143,45.99771428571412,45.99771428571446,45.99771428571393,45.9977142857142,45.99771428571409,45.9977142857146,45.99771428571409,45.99771428571385,45.99771428571456,45.9977142857141,45.99771428571425,45.99771428571411,68.99657142856785,68.99657142857504,45.99771428571413,45.99771428571435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333334187,4.3830641778800095,4.5947376403755955,3.3333333333333695,3.333333333333341,3.333333333333345,3.3333333333334254,3.507547964740859,3.5075479647408416,3.5075479647408296,3.3333333333332074,3.333333333333448,0.0,0.0,0.0,,,
community_size,4,True,False,1.5,1,0.8,1,350,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,5,0.1788465976715088,1086.8235021787928,72.50977032651149,383.09849826138986,78.78143950437811,129.54664873431892,148.98192823240896,-0.0,,True,21.08918857574463,1060.9985602286793,80.40404941078216,390.59236937550054,85.56783425988561,133.19704573054287,148.98192823240953,-0.0,,True,65.0866666666665,64.797650858405,65.0866666666668,65.08666666666642,64.6531429542721,61.807160566242146,53.15999999999995,61.80716056624187,64.9421587625366,61.80716056624466,71.19999999999982,71.20000000000012,6.750155989720952e-13,6.850000000000378,65.08666666666679,65.0866666666669,57.19280791470923,64.51999999999992,64.51999999999991,64.66666666666669,64.67999999999998,65.08666666666672,65.0866666666667,64.72000000000001,45.997714285714025,45.997714285714075,45.9977142857143,45.99771428571459,45.99771428571399,45.99771428571432,68.99657142857124,45.997714285714316,45.99771428571429,45.997714285714515,45.997714285714125,45.99771428571401,45.99771428571418,45.997714285713954,45.997714285714444,45.99771428571371,45.99771428571438,45.99771428571378,45.99771428571438,45.99771428571395,68.99657142857133,68.99657142857197,45.99771428571389,45.99771428571419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333948,4.383064177880163,4.594737640375408,3.33333333333333,3.3333333333333144,3.5075479647407994,3.5075479647407897,3.3333333333332886,3.477445375679778,3.477445375679718,3.3333333333333774,3.333333333333334,0.0,0.0,0.0,,,
community_size,5,True,False,1.5,1,0.8,1,350,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,6,0.12949013710021973,1220.9710223344764,115.33312201654402,409.22069266164794,102.92041119943963,136.96242055085906,148.98192823240902,-0.0,,True,23.206019639968872,1220.1832402668656,115.82570730500683,409.3750425851357,103.0612580550997,136.96242055086032,148.98192823240777,-0.0,,True,54.65999999999986,53.95104335788767,53.95104335789592,53.95104335789095,53.95104335789452,53.15999999999877,53.16000000000004,53.15999999999998,57.19280791471154,57.19280791471062,70.6084048329759,70.60840483297596,2.4796753569403433e-12,6.849999999998838,57.19280791472029,57.192807914717825,61.80716056623574,64.52000000000014,64.51999999999992,64.6666666666665,64.68000000000016,65.08666666666657,65.08666666666663,64.71999999999994,45.997714285714636,45.997714285714686,45.99771428571365,45.99771428571481,45.997714285712654,45.997714285714004,68.99657142857116,45.99771428571427,45.99771428571486,45.99771428571483,45.99771428571451,45.997714285713215,45.997714285715475,45.99771428571343,45.9977142857134,45.99771428571481,45.99771428571369,45.9977142857139,45.99771428571533,45.99771428571472,68.99657142857153,68.99657142857158,45.997714285715375,45.99771428571414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333334014,4.3470610904352,4.556975774878014,3.333333333333288,3.333333333333355,3.333333333333341,3.3333333333333774,3.333333333333094,3.4774453756800034,3.4774453756799417,3.3333333333334,3.3333333333333584,0.0,0.0,0.0,,,
community_size,6,True,False,1.5,1,0.8,1,350,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,7,0.1638197898864746,1102.8652798106443,112.72580358760703,410.6653750525477,104.51465097597497,144.80055118573,148.98192823240902,-0.0,,True,22.22963309288025,1099.455840504691,114.60636587931347,411.48046106597303,105.26538132073017,144.76361184179427,148.98192823241112,-0.0,,True,57.19280791471428,57.19280791470502,57.19280791472093,57.19280791471428,57.19280791471052,53.16000000000032,53.160000000000096,53.16,53.95104335788582,53.9510433578842,65.62962962962956,65.62962962962955,2.8421709430404007e-12,6.850000000003238,53.95104335789729,53.95104335789261,57.1928079147192,64.51999999999992,65.08666666666682,64.94215876253631,65.08666666666679,65.08666666666664,65.08666666666664,64.71999999999998,45.997714285715595,45.99771428571577,45.99771428571368,45.99771428571377,45.99771428571339,45.9977142857144,68.9965714285715,45.99771428571415,45.99771428571353,45.99771428571324,45.997714285714345,45.997714285713755,45.99771428571499,45.99771428571442,45.99771428571403,45.9977142857151,45.9977142857149,45.997714285712426,45.997714285714686,45.9977142857143,68.99657142857137,68.99657142857154,45.99771428571275,45.99771428571353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333828,4.044064566793934,4.239177641877937,3.3333333333333792,3.333333333333267,3.333333333333281,3.333333333333335,3.333333333333455,3.477445375679002,3.50754796474054,3.3333333333340627,3.3406393365150624,0.0,0.0,0.0,,,
community_size,7,True,False,1.5,1,0.8,1,350,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,8,0.13252711296081543,1202.2795874057572,103.38858310536102,406.32381380787774,100.57282961378917,145.03462556591182,148.98192823240902,-0.0,,True,20.082134008407593,1198.603082567629,105.56014906057675,407.1107031570888,101.29087914750392,145.03462556590028,148.98192823240748,-0.0,,True,65.0866666666674,65.08666666666787,61.80716056624867,57.19280791471142,57.19280791470359,53.16000000000173,53.15999999999982,53.160000000000224,53.951043357890164,53.951043357887926,65.62962962963059,65.62962962963026,7.448473614128407e-14,6.849999999999417,53.95104335789748,57.1928079146986,57.19280791472097,64.5199999999998,64.51999999999992,64.66666666666673,64.68000000000008,65.08666666666663,65.08666666666672,64.72000000000001,45.997714285714814,45.99771428571401,45.997714285713585,45.99771428571469,45.9977142857148,45.997714285716064,68.99657142857112,45.99771428571412,45.997714285714636,45.997714285715304,45.99771428571414,45.99771428571543,45.99771428571465,45.99771428571339,45.997714285715766,45.99771428571351,45.997714285713066,45.997714285714764,45.99771428571338,45.99771428571339,68.99657142857146,68.99657142857146,45.997714285716256,45.99771428571423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333325,4.044064566794011,4.239177641877494,3.333333333333281,3.3333333333333637,3.3333333333334325,3.3333333333331843,3.3333333333334205,3.477445375679974,3.4774453756802624,3.333333333333355,3.333333333333405,0.0,0.0,0.0,,,
community_size,8,True,False,1.5,1,0.8,1,350,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,9,0.13243412971496582,1254.927118481773,105.58578045105472,408.4070872683637,102.38659040648184,145.03462556591182,148.98192823240902,-0.0,,True,20.99579381942749,1251.2960218886649,107.7119381612346,409.19397661757483,103.10463994019813,145.03462556591222,148.98192823240936,-0.0,,True,57.19280791471031,57.192807914710144,57.19280791470977,57.1928079147098,57.19280791470967,53.160000000000075,53.16000000000007,53.16,57.19280791470972,57.192807914710144,65.62962962963006,65.62962962962864,2.707801004193461e-14,6.849999999999966,57.19280791471043,57.19280791470935,57.19280791470978,64.51999999999988,64.51999999999951,64.66666666666657,64.68000000000015,65.08666666666656,65.08666666666663,64.71999999999986,45.99771428571438,45.9977142857142,45.99771428571456,45.99771428571441,45.99771428571453,45.99771428571417,68.99657142857129,45.997714285714025,45.99771428571394,45.997714285714544,45.99771428571415,45.99771428571434,45.997714285713926,45.99771428571385,45.99771428571419,45.997714285714224,45.99771428571421,45.99771428571408,45.99771428571446,45.997714285714345,68.99657142857136,68.99657142857137,45.99771428571428,45.99771428571446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333331,4.044064566793409,4.239177641877591,3.33333333333334,3.3333333333333353,3.333333333333336,3.333333333333336,3.3333333333333304,3.477445375679766,3.4774453756797383,3.3333333333333224,3.3333333333333433,0.0,0.0,0.0,,,
community_size,9,True,False,1.5,1,0.8,1,350,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,10,0.1579291820526123,903.7738735065145,89.92883759127454,374.74331760974883,69.0190426385044,106.25756933494165,148.98192823240902,-0.0,,True,30.49946665763855,897.4107325767903,94.49153280640559,376.333754157139,70.4856046892831,105.00101645136579,148.98192823240913,-0.0,,True,54.65999999999998,53.951043357889624,57.19280791471076,57.19280791470895,61.8071605662428,64.94215876253628,53.15999999999999,79.74000000000012,77.31999999999991,76.00000000000014,71.19999999999985,71.20000000000007,1.4210854715202004e-14,6.849999999999817,71.19999999999999,71.3299999999997,79.74000000000073,79.74000000000093,79.74000000000083,64.66666666666667,64.67999999999998,65.08666666666686,65.0866666666667,64.72000000000004,45.99771428571491,45.99771428571453,45.997714285714764,45.997714285714174,45.9977142857142,45.99771428571431,68.996571428571,45.99771428571407,45.99771428571391,45.99771428571436,45.99771428571425,45.99771428571428,45.99771428571403,45.997714285714615,45.99771428571411,45.99771428571428,45.997714285714636,45.99771428571406,45.99771428571443,45.99771428571375,68.99657142857154,68.99657142857146,45.997714285714544,45.99771428571464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8923935712664566,4.383064177880116,4.594737640375629,3.3333333333333375,3.3333333333333317,3.832301778493408,3.839207666572108,4.285965503048747,4.285965503048711,4.285965503048707,3.3333333333333144,3.333333333333317,0.0,0.0,0.0,,,
