scenario,run_id,use_korean_price,use_tou_elec,import_factor,month,hp_cap,els_cap,num_households,nu_cop,c_su_G,c_su_H,base_h2_price_eur,e_E_cap_ratio,e_H_cap_ratio,e_G_cap_ratio,eff_type,segments,peak_penalty_ratio,wind_el_ratio,solar_el_ratio,storage_power_ratio_E,storage_power_ratio_G,storage_power_ratio_H,storage_capacity_ratio_E,storage_capacity_ratio_G,storage_capacity_ratio_H,initial_soc_ratio_E,initial_soc_ratio_G,initial_soc_ratio_H,day,solve_time_ip,profit_ip_u1,profit_ip_u2,profit_ip_u3,profit_ip_u4,profit_ip_u5,profit_ip_u6,profit_ip_u7,profit_ip_u8,profit_ip_u9,profit_ip_u10,profit_ip_u11,profit_ip_u12,profit_ip_u13,profit_ip_u14,profit_ip_u15,profit_ip_u16,profit_ip_u17,profit_ip_u18,profit_ip_u19,profit_ip_u20,profit_ip_u21,profit_ip_u22,profit_ip_u23,profit_ip_u24,profit_ip_u25,profit_ip_u26,profit_ip_u27,profit_ip_u28,profit_ip_u29,profit_ip_u30,violation_ip,blocking_coalition_ip,isimp_ip,solve_time_chp_smooth,profit_chp_smooth_u1,profit_chp_smooth_u2,profit_chp_smooth_u3,profit_chp_smooth_u4,profit_chp_smooth_u5,profit_chp_smooth_u6,profit_chp_smooth_u7,profit_chp_smooth_u8,profit_chp_smooth_u9,profit_chp_smooth_u10,profit_chp_smooth_u11,profit_chp_smooth_u12,profit_chp_smooth_u13,profit_chp_smooth_u14,profit_chp_smooth_u15,profit_chp_smooth_u16,profit_chp_smooth_u17,profit_chp_smooth_u18,profit_chp_smooth_u19,profit_chp_smooth_u20,profit_chp_smooth_u21,profit_chp_smooth_u22,profit_chp_smooth_u23,profit_chp_smooth_u24,profit_chp_smooth_u25,profit_chp_smooth_u26,profit_chp_smooth_u27,profit_chp_smooth_u28,profit_chp_smooth_u29,profit_chp_smooth_u30,violation_chp_smooth,blocking_coalition_chp_smooth,isimp_chp_smooth,solve_time_chp,profit_chp_u1,profit_chp_u2,profit_chp_u3,profit_chp_u4,profit_chp_u5,profit_chp_u6,profit_chp_u7,profit_chp_u8,profit_chp_u9,profit_chp_u10,profit_chp_u11,profit_chp_u12,profit_chp_u13,profit_chp_u14,profit_chp_u15,profit_chp_u16,profit_chp_u17,profit_chp_u18,profit_chp_u19,profit_chp_u20,profit_chp_u21,profit_chp_u22,profit_chp_u23,profit_chp_u24,profit_chp_u25,profit_chp_u26,profit_chp_u27,profit_chp_u28,profit_chp_u29,profit_chp_u30,violation_chp,blocking_coalition_chp,isimp_chp,chp_price_electricity_0,chp_price_electricity_1,chp_price_electricity_2,chp_price_electricity_3,chp_price_electricity_4,chp_price_electricity_5,chp_price_electricity_6,chp_price_electricity_7,chp_price_electricity_8,chp_price_electricity_9,chp_price_electricity_10,chp_price_electricity_11,chp_price_electricity_12,chp_price_electricity_13,chp_price_electricity_14,chp_price_electricity_15,chp_price_electricity_16,chp_price_electricity_17,chp_price_electricity_18,chp_price_electricity_19,chp_price_electricity_20,chp_price_electricity_21,chp_price_electricity_22,chp_price_electricity_23,chp_price_heat_0,chp_price_heat_1,chp_price_heat_2,chp_price_heat_3,chp_price_heat_4,chp_price_heat_5,chp_price_heat_6,chp_price_heat_7,chp_price_heat_8,chp_price_heat_9,chp_price_heat_10,chp_price_heat_11,chp_price_heat_12,chp_price_heat_13,chp_price_heat_14,chp_price_heat_15,chp_price_heat_16,chp_price_heat_17,chp_price_heat_18,chp_price_heat_19,chp_price_heat_20,chp_price_heat_21,chp_price_heat_22,chp_price_heat_23,chp_price_hydrogen_0,chp_price_hydrogen_1,chp_price_hydrogen_2,chp_price_hydrogen_3,chp_price_hydrogen_4,chp_price_hydrogen_5,chp_price_hydrogen_6,chp_price_hydrogen_7,chp_price_hydrogen_8,chp_price_hydrogen_9,chp_price_hydrogen_10,chp_price_hydrogen_11,chp_price_hydrogen_12,chp_price_hydrogen_13,chp_price_hydrogen_14,chp_price_hydrogen_15,chp_price_hydrogen_16,chp_price_hydrogen_17,chp_price_hydrogen_18,chp_price_hydrogen_19,chp_price_hydrogen_20,chp_price_hydrogen_21,chp_price_hydrogen_22,chp_price_hydrogen_23
30player_baseline,0,True,False,1.5,1,0.8,1,700,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,3.0,3.0,0.2,0.2,0.2,1,2.959737539291382,1467.2318193500378,82.30244563755275,621.6971216724735,128.47306258193532,128.14960915026023,193.0533814314802,360.40119964386827,88.59011130855049,621.6971216724735,822.2060209835695,39.13328190784671,97.31154026766103,150.74161667202424,318.9244225688742,209.67584757889074,1142.496922146697,417.68306620369526,88.59011130855035,82.30244563755275,621.6971216724735,242.44289824041175,58.688615241179946,231.88910306321537,197.86946515034901,85.05319886137454,241.7051637273031,81.27766037313182,194.63425040969878,158.5771593901352,163.19358215798002,0.01107980080280413,"['u3', 'u7', 'u10', 'u11', 'u13', 'u14', 'u15', 'u21', 'u25', 'u29']",True,69.14270305633545,1467.2318193500396,80.49140893203537,621.6971216724726,128.47306258193498,129.9663592414047,193.05338143148015,360.4011996438674,86.46012483536362,621.6971216724723,820.0725459760299,39.133281907846936,97.31154026766046,152.54386536260432,318.92442256887375,209.67584757889017,1142.4969221466981,417.6830662036939,86.46004590314837,80.49140893203526,621.6971216724723,241.13874208730334,58.6886152411804,231.88910306321554,197.86946515034992,85.05319886137477,243.6303531444408,83.20284979026991,196.5594398268363,160.5023488072727,163.19358215798047,0.22830542316637548,"['u2', 'u3', 'u4', 'u5', 'u7', 'u8', 'u10', 'u13', 'u15', 'u16', 'u18', 'u20', 'u23', 'u24', 'u26', 'u28', 'u30']",True,51.58108067512512,1467.2318193501205,80.49140893221869,621.6971216724519,128.47306258189747,129.9663592412242,193.05338143146628,360.4011996438781,86.46012483558485,621.6971216724494,820.072545976271,39.13328190791435,97.31154026767672,152.54386536242436,318.92442256888194,209.67584757885697,1142.496922146756,417.6830662037189,86.46004590334834,80.49140893220971,621.6971216724494,241.13874208745005,58.68861524120007,231.88910306317734,197.86946515031764,85.05319886134203,243.63035314426475,83.20284979008619,196.5594398265846,160.502348807021,163.19358215800662,0.2283054251720955,"['u3', 'u4', 'u5', 'u7', 'u8', 'u10', 'u13', 'u16', 'u17', 'u18', 'u19', 'u24', 'u25', 'u27', 'u29']",True,81.99000000002526,78.61000000000236,78.6100000000149,78.60999999996942,78.60999999999437,78.6100000000292,79.74000000000693,79.74000000002128,77.32000000005668,76.0000000000141,71.20000000002052,71.20000000004197,0.0499999999999839,6.849999999937152,71.20000000000155,71.32999999998691,84.91999999997007,96.78000000007182,96.7800000000238,97.00000000001154,97.01999999995732,97.63000000000494,97.62999999991443,97.08000000005553,68.99657142858229,68.99657142856347,68.99657142858628,68.99657142855305,68.99657142857703,68.99657142856492,68.99657142857511,68.99657142856498,68.99657142856888,68.99657142857262,68.99657142859101,68.99657142858283,68.99657142857545,68.99657142856105,68.99657142857956,68.99657142856441,68.99657142857332,68.99657142858145,68.996571428564,68.99657142855615,68.99657142856391,68.99657142857278,68.99657142856043,68.99657142857491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.013646179877092,4.383064177889196,4.594737640378553,3.33333333333212,3.3333333333322788,4.013646179876189,4.013646179872856,4.561138581872306,4.955118740583799,4.955118740583855,4.954107584379234,4.955118740583797,0.0,0.0,0.0
30player_baseline,1,True,False,1.5,1,0.8,1,700,3.28,50,10,3.333333333333333,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,3.0,3.0,0.2,0.2,0.2,2,5.460197925567627,1368.320276430983,82.30244563755275,621.6971216724735,128.47306258193532,128.14960915026023,193.05338143148023,360.40119964386827,88.59011130855032,621.6971216724737,772.7502495240423,39.13328190784684,97.31154026766104,150.74161667202452,318.92442256887426,209.67584757889065,1063.3676878114534,417.68306620369526,88.59011130855038,81.7955650851444,621.6971216724737,242.94977879282013,58.68861524117983,231.8891030632153,210.25638304885024,85.05319886137431,241.70516372730307,81.27766037313182,194.634250409699,172.73357758547832,163.1935821579799,0.0110798052945142,"['u3', 'u4', 'u6', 'u7', 'u8', 'u13', 'u15', 'u16', 'u19', 'u28', 'u30']",True,61.68172001838684,1368.3202764309906,80.49140893203185,621.6971216724733,128.47306258193282,130.07479856740127,193.0533814314801,360.4011996438683,86.46012483536043,621.697121672473,770.6202630508592,39.13328190784782,97.3115402676575,152.43185857004477,318.92442256887364,209.6758475788879,1063.3676878114588,417.68306620369486,86.46012483536043,80.49140893203116,621.6971216724728,241.1387420873,58.68861524118197,231.8891030632128,210.2563830488475,85.05319886137227,243.630353144444,83.20284979027286,196.5594398268372,174.65876700261606,163.19358215798047,0.2283054244890081,"['u3', 'u4', 'u5', 'u7', 'u8', 'u10', 'u13', 'u15', 'u17', 'u18', 'u19', 'u24', 'u25', 'u26', 'u27']",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30player_baseline,2,True,False,1.5,1,0.8,1,700,3.28,50,10,3.333333333333333,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,3.0,3.0,0.2,0.2,0.2,3,3.331963300704956,1159.3637591916438,82.30244563755306,621.6971216724735,128.47306258193532,128.1496091502599,193.05338143148023,360.40119964386827,88.08323075614229,621.6971216724735,668.2719909043728,39.13328190784665,97.311540267661,150.7416166720241,318.9244225688738,209.67584757889097,896.2024740199818,417.68306620369526,88.59011130855069,82.30244563755309,621.6971216724735,242.9497787928205,58.68861524118017,231.8891030632157,210.25638304885024,85.05319886137431,241.7051637273028,81.27766037313148,194.63425040969847,172.73357758547832,163.19358215798002,0.1336716127259976,"['u4', 'u8', 'u14', 'u17', 'u20', 'u22', 'u24', 'u25', 'u28']",True,70.72086548805237,1159.3637591916206,80.49140893217182,621.6971216724733,128.4730625819435,129.8532826096191,193.05338143148424,360.4011996438629,86.45655736894977,621.6971216724733,666.1420044313236,39.13328190784199,97.31154026766616,152.65694199411269,318.9244225688716,209.67584757890108,896.2024740199624,417.68306620368537,86.46012483552673,80.49140893217321,621.6971216724733,241.13874208743715,58.688615241174375,231.8891030632201,210.2563830488625,85.05319886138386,243.63035314429288,83.20284979012462,196.5594398267001,174.65876700247645,163.1935821579782,0.2283425567149493,"['u3', 'u4', 'u5', 'u6', 'u7', 'u8', 'u10', 'u12', 'u13', 'u14', 'u15', 'u16', 'u18', 'u21', 'u25', 'u26', 'u28', 'u30']",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30player_baseline,3,True,False,1.5,1,0.8,1,700,3.28,50,10,3.333333333333333,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,3.0,3.0,0.2,0.2,0.2,4,1.1350014209747314,1470.9111990215115,82.3024456375528,621.6971216724737,128.47306258193532,128.14960915026018,193.0533814314805,360.40119964386827,88.08323075614206,621.6971216724737,824.0457108193062,39.1332819078466,97.31154026766104,150.7416166720243,318.92442256887426,209.6758475788908,1145.440425883876,417.6830662036952,88.59011130855038,82.3024456375527,621.6971216724737,242.9497787928198,58.68861524117989,231.88910306321569,210.25638304885024,85.05319886137431,241.70516372730305,81.27766037313177,194.63425040969847,172.73357758547854,163.19358215798002,0.1336716131464186,"['u3', 'u8', 'u9', 'u12', 'u14', 'u15', 'u22', 'u23', 'u24', 'u25', 'u26', 'u30']",True,75.73171019554138,1470.9111990215126,80.4914089320199,621.6971216724749,128.4730625819352,129.84341851485925,193.0533814314797,360.4011996438685,86.45900222349792,621.6971216724749,821.9132794913922,39.13328190784711,97.3115402676616,152.6668060891738,318.9244225688724,209.67584757889065,1145.440425883877,417.6830662036963,86.46012483535299,80.49140893202124,621.697121672475,241.13874208728944,58.68861524118012,231.88910306321645,210.25638304884933,85.05319886137454,243.63035314445284,83.20284979028122,196.5594398268481,174.65876700262834,163.19358215797934,0.2283054233134862,"['u1', 'u4', 'u5', 'u7', 'u8', 'u10', 'u11', 'u13', 'u14', 'u15', 'u16', 'u18', 'u20', 'u21', 'u23', 'u24', 'u25', 'u26', 'u28']",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30player_baseline,4,True,False,1.5,1,0.8,1,700,3.28,50,10,3.333333333333333,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,3.0,3.0,0.2,0.2,0.2,5,1.4808051586151123,1410.3109788140723,82.30244563755429,621.6971216724735,128.47306258193544,128.14960915026023,193.0533814314801,360.40119964386827,88.59011130854995,621.6971216724735,793.7456007155864,39.13328190784671,97.3115402676611,150.74161667202435,318.92442256887426,209.67584757889065,1096.9602497179249,417.6830662036953,88.5901113085504,81.7955650851442,621.6971216724735,242.9497787928212,58.68861524118006,231.8891030632151,210.25638304885024,85.05319886137431,241.7051637273031,81.27766037313182,194.634250409699,172.73357758547877,163.19358215798002,0.0110797999757892,"['u6', 'u8', 'u9', 'u11', 'u13', 'u14', 'u17', 'u19', 'u22', 'u25', 'u27']",True,59.40926671028137,1410.3109788141016,80.4914089320182,621.6971216724854,128.47306258192805,129.84341851487835,193.0533814314647,360.4011996438612,86.46012483530163,621.6971216724854,791.6156142423263,39.1332819078562,97.31154026764614,152.66680608921382,318.9244225688735,209.67584757887448,1096.9602497179385,417.68306620367,86.45655736873621,80.49140893201817,621.6971216724927,241.13874208727225,58.688615241194384,231.8891030632012,210.2563830488361,85.05319886136681,243.6303531444848,83.20284979032135,196.55943982688007,174.65876700266472,163.1935821579807,0.2283054251976182,"['u2', 'u3', 'u4', 'u5', 'u7', 'u8', 'u10', 'u15', 'u17', 'u18', 'u25', 'u26', 'u28', 'u29', 'u30']",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30player_baseline,5,True,False,1.5,1,0.8,1,700,3.28,50,10,3.333333333333333,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,3.0,3.0,0.2,0.2,0.2,6,2.678438186645508,1707.218050796621,81.7955650851444,621.6971216724735,128.47306258193532,128.1496091502603,193.0533814314801,360.40119964386827,88.59011130855026,621.6971216724737,942.1991367068604,39.13328190784668,97.31154026766106,150.74161667202446,318.9244225688745,209.6758475788908,1334.4859073039638,417.68306620369526,88.59011130855032,82.30244563755255,621.6971216724737,242.94977879282035,58.68861524118,231.8891030632156,210.25638304885,85.05319886137363,241.7051637273032,81.27766037313188,194.63425040969847,172.73357758547877,163.19358215798002,0.0110798017510092,"['u2', 'u3', 'u4', 'u7', 'u11', 'u12', 'u15', 'u18', 'u22', 'u23', 'u25', 'u26', 'u28']",True,61.94008994102478,1707.2180507966148,80.49140893202204,621.6971216724696,128.47306258193703,129.84341851486,193.0533814314849,360.4011996438661,86.46012483534204,621.6971216724694,940.0655827670872,39.13328190784705,97.31154026766389,152.66680608917773,318.92442256886886,209.67584757889472,1334.4859073039624,417.6830662036973,86.46012483534238,80.49140893202181,621.6971216724687,241.1387420872888,58.68861524118131,231.8891030632205,210.2563830488548,85.0531988613784,243.63035314445705,83.20284979028514,196.5594398268529,174.65876700263289,163.1935821579841,0.2283054232313475,"['u3', 'u4', 'u5', 'u8', 'u10', 'u14', 'u15', 'u16', 'u17', 'u18', 'u19', 'u20', 'u23', 'u24', 'u25', 'u26', 'u27', 'u29', 'u30']",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30player_baseline,6,True,False,1.5,1,0.8,1,700,3.28,50,10,3.333333333333333,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,3.0,3.0,0.2,0.2,0.2,7,9.768374919891356,1535.918012063664,82.30244563755258,621.6971216724735,128.47306258193532,128.14960915026023,193.0533814314802,360.40119964386827,88.59011130855038,621.6971216724735,856.0422367879739,39.1332819078466,97.3115402676611,150.7416166720243,318.92442256887426,209.67584757889097,1197.4458763175985,417.68306620369526,88.5901113085502,82.30244563755275,621.6971216724735,242.9497787928202,58.688615241179946,231.8891030632153,210.25638304885024,85.05319886137431,241.70516372730307,81.27766037313182,194.6342504096988,172.73357758547877,163.19358215798025,0.1336716132023809,"['u4', 'u6', 'u10', 'u12', 'u20', 'u22', 'u24', 'u25', 'u28']",True,69.42615246772766,1535.918012063663,80.4914089317366,621.6971216724933,128.47306258193623,130.07479856777576,193.053381431472,360.40119964387577,86.46012483490813,621.6971216724952,854.4191308667542,39.133281907860805,97.31154026768296,152.4354260369234,318.924422568866,209.6758475788749,1197.4458763175892,417.68306620370015,86.45655736834954,80.4914089317366,621.6971216724952,241.1387420870093,58.68861524118279,231.8891030632078,210.25638304883523,85.05319886135885,243.63035314482016,83.20284979064735,196.559439827211,174.65876700299714,163.19358215797592,0.2283054250315359,"['u3', 'u4', 'u5', 'u8', 'u9', 'u10', 'u11', 'u13', 'u14', 'u15', 'u16', 'u17', 'u18', 'u21', 'u24', 'u25', 'u27', 'u28', 'u30']",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30player_baseline,7,True,False,1.5,1,0.8,1,700,3.28,50,10,3.333333333333333,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,3.0,3.0,0.2,0.2,0.2,8,1.6236374378204346,1668.7009821074996,82.30244563755296,621.6971216724735,128.47306258193532,128.14960915025995,193.0533814314801,360.40119964386827,88.59011130855066,621.6971216724736,922.4337218098916,39.13328190784668,97.31154026766104,150.7416166720241,318.9244225688741,209.6758475788905,1303.6722523526664,417.68306620369526,88.5901113085508,82.30244563755302,621.6971216724737,242.9497787928205,58.68861524118,231.88910306321543,210.25638304885,85.05319886137431,241.7051637273028,81.27766037313148,194.63425040969847,172.73357758547832,163.19358215798002,0.133671613170776,"['u4', 'u7', 'u9', 'u10', 'u12', 'u15', 'u16', 'u25', 'u29']",True,67.75659823417664,1668.7009821074976,80.49140893205201,621.6971216724737,128.47306258193566,129.83990965560645,193.0533814314815,360.4011996438691,86.46012483538311,621.6971216724735,920.8105572817824,39.13328190784608,97.31154026766252,152.6668060891423,318.92442256887364,209.67584757889176,1303.6722523526655,417.6830662036978,86.46012483538297,80.49140893205269,621.6971216724735,241.138742087322,58.68861524117887,231.88910306321736,210.25638304885115,85.053198861375,243.6303531444217,83.20284979024967,196.55943982681765,174.65876700259696,163.19358215797934,0.2283054236721255,"['u3', 'u4', 'u5', 'u7', 'u8', 'u10', 'u13', 'u14', 'u15', 'u16', 'u18', 'u21', 'u24', 'u25', 'u26', 'u29', 'u30']",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30player_baseline,8,True,False,1.5,1,0.8,1,700,3.28,50,10,3.333333333333333,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,3.0,3.0,0.2,0.2,0.2,9,1.3895914554595947,1751.224411299429,81.79556508514423,621.6971216724735,128.47306258193532,128.1496091502603,193.05338143148023,360.40119964386815,88.59011130855019,621.6971216724737,964.2023169582644,39.13328190784668,97.311540267661,150.74161667202384,318.92442256887426,209.6758475788908,1369.6909957062098,417.68306620369526,88.59011130855023,82.30244563755276,621.6971216724737,242.94977879281885,58.68861524117989,231.8891030632149,210.25638304885024,85.05319886137431,241.7051637273032,81.27766037313188,194.634250409699,172.73357758547877,163.19358215798002,0.01107980101213,"['u1', 'u2', 'u3', 'u4', 'u8', 'u12', 'u15', 'u22', 'u25', 'u27', 'u29', 'u30']",True,67.44287610054016,1751.2244112994283,80.49140893205933,621.6971216724737,128.4730625819351,129.84341851482276,193.0533814314806,360.40119964386736,86.45726707808181,621.6971216724736,962.0723304851032,39.1332819078466,97.31154026766036,152.66680608913708,318.924422568874,209.67584757889065,1369.6909957062092,417.68306620369344,86.45941512612924,80.49140893205926,621.6971216724734,241.1387420873259,58.68861524118,231.88910306321463,210.2563830488507,85.05319886137477,243.6303531444157,83.20284979024501,196.5594398268117,174.65876700259173,163.19358215797956,0.2283647469756999,"['u2', 'u4', 'u5', 'u7', 'u8', 'u10', 'u13', 'u15', 'u17', 'u18', 'u25', 'u26', 'u29']",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30player_baseline,9,True,False,1.5,1,0.8,1,700,3.28,50,10,3.333333333333333,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,3.0,3.0,0.2,0.2,0.2,10,2.3725898265838623,1194.8444962323108,82.30244563755298,621.6971216724735,128.47306258193532,128.1496091502599,193.0533814314802,360.4011996438682,88.59011130855066,621.6971216724735,688.5149413203794,39.13328190784671,97.31154026766109,150.74161667202395,318.92442256887426,209.67584757889065,929.402203569446,417.68306620369526,88.59011130855072,82.3024456375532,621.6971216724735,242.9497787928206,58.688615241179946,231.8891030632153,210.25638304885,85.05319886137431,241.7051637273028,81.27766037313148,194.63425040969867,172.73357758547854,163.19358215798025,0.1336716144387537,"['u1', 'u4', 'u9', 'u10', 'u11', 'u14', 'u15', 'u22', 'u23', 'u24', 'u25', 'u29']",True,72.38834428787231,1194.8444962323067,80.49140893204319,621.6971216724767,128.4730625819367,129.83985104826934,193.0533814314795,360.4011996438688,86.46012483536953,621.6971216724764,686.8918353996042,39.13328190784614,97.31154026766283,152.66680608915368,318.9244225688735,209.67584757889108,929.4022035694431,417.68306620369646,86.46012483536936,80.49140893204469,621.6971216724766,241.1387420873105,58.688615241179605,231.889103063216,210.25638304885183,85.05319886137545,243.630353144433,83.20284979026133,196.55943982682905,174.65876700260924,163.1935821579791,0.2283054231815526,"['u3', 'u4', 'u5', 'u6', 'u7', 'u8', 'u9', 'u10', 'u11', 'u12', 'u14', 'u15', 'u16', 'u18', 'u19', 'u22', 'u23', 'u24', 'u25', 'u26', 'u27', 'u28', 'u30']",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
