method,violation,time,u1,u2,u3,u4,u5,u6,total_cost,total_profit
ip,-0.0,0.15398383140563965,-1167.84929014752,-75.78623990531965,-474.30260573865485,-130.52316055066,-93.13490528889093,-134.72189892093957,-2076.318100551985,2076.318100551985
lp,-0.0,0.08071589469909668,-1182.42944925886,-80.37190093492018,-467.54667316756195,-120.37200809534943,-90.87617017435383,-134.72189892093957,-2076.3181005519846,2076.3181005519846
pca,154.26321856796525,0.15398383140563965,-1528.02075107774,-93.7165559394212,-454.58079353482407,-0.0,-0.0,-0.0,-2076.318100551985,2076.318100551985
chp,3.5896555172776345e-10,21.472420692443848,-1190.2378298341382,-78.89946897451728,-465.15277035559825,-115.42778006147807,-91.87835240531331,-134.72189892093957,-2076.3181005519846,2076.3181005519846
rowgen,8.313350008393172e-13,1.4551427364349365,-1373.7575325097746,-152.21130744879713,-550.3492605934133,0.0,0.0,0.0,-2076.318100551985,2076.318100551985
