time,electricity,heat,hydro
0,81.99,45.99771428571428,0.0
1,78.61,45.99771428571428,0.0
2,61.807160566243525,45.99771428571428,0.0
3,61.807160566243525,45.99771428571428,0.0
4,61.807160566243525,45.99771428571428,0.0
5,61.807160566243525,45.99771428571428,0.0
6,53.16,68.99657142857143,0.0
7,61.807160566243525,68.99657142857143,0.0
8,61.807160566243525,68.99657142857143,0.0
9,76.0,68.99657142857143,4.087288415245822
10,71.2,45.99771428571428,4.3830641778801365
11,71.2,45.99771428571428,4.594737640375636
12,0.0,45.99771428571428,3.3333333333333335
13,6.85,45.99771428571428,3.3333333333333335
14,71.2,45.99771428571428,3.832301778493456
15,71.32999999999998,45.99771428571428,3.8392076665721646
16,84.92,45.99771428571428,4.561138581877304
17,93.18135374707785,68.99657142857143,5.0
18,93.18135374707785,68.99657142857143,5.0
19,64.66666666666666,68.99657142857143,3.3333333333333335
20,64.68,68.99657142857143,3.3333333333333335
21,65.08666666666667,68.99657142857143,0.0
22,65.08666666666667,68.99657142857143,0.0
23,64.72,45.99771428571428,0.0
