run,day,n_players,c_N,sum_kappa,v_N,time_s
baseline_15p,1,15,-6490.368722491117,-4377.294967991881,2113.073754499236,0.51
baseline_15p,2,15,-6310.296466455183,-4237.444421229854,2072.8520452253288,2.82
baseline_15p,3,15,-5970.403695244046,-4007.1130394228744,1963.2906558211712,1.5
baseline_15p,4,15,-6519.80877899512,-4383.874565416595,2135.9342135785246,0.35
baseline_15p,5,15,-6404.78517745317,-4314.247227000749,2090.537950452421,0.64
baseline_15p,6,15,-6889.551069515007,-4659.49054696505,2230.0605225499567,0.96
baseline_15p,7,15,-6614.08189186003,-4456.168586459453,2157.913305400577,0.78
baseline_15p,8,15,-6769.954123846344,-4600.215504835562,2169.7386190107827,0.63
baseline_15p,9,15,-6958.599065936598,-4724.475763820975,2234.123302115623,0.84
baseline_15p,10,15,-6039.428277816526,-4033.849521797305,2005.5787560192211,0.63
baseline_15p,11,15,-5860.217778926482,-3896.2871034570376,1963.9306754694449,0.58
baseline_15p,12,15,-5866.91359920981,-3939.222909128277,1927.690690081533,1.0
baseline_15p,13,15,-6385.197021337546,-4294.362955974992,2090.8340653625546,1.06
baseline_15p,14,15,-6033.605806675422,-4055.64001894232,1977.9657877331024,0.82
baseline_15p,15,15,-6796.803681254032,-4588.589765709348,2208.213915544684,0.53
baseline_15p,16,15,-6327.5643489319145,-4236.552933600318,2091.0114153315963,0.86
baseline_15p,17,15,-5833.501453826734,-3893.943815766045,1939.557638060689,0.78
baseline_15p,18,15,-6141.804836915481,-4113.715713479991,2028.0891234354904,1.14
baseline_15p,19,15,-6145.360566516683,-4129.734089154148,2015.6264773625353,1.12
baseline_15p,20,15,-6449.020039989849,-4336.109269044739,2112.910770945109,0.79
baseline_15p,21,15,-6219.3703118021385,-4181.917764356008,2037.4525474461307,0.58
baseline_15p,22,15,-6615.268287307717,-4472.364403746917,2142.9038835608008,0.4
baseline_15p,23,15,-6488.532697379663,-4332.916562150877,2155.6161352287854,0.36
baseline_15p,24,15,-5717.297162663377,-3791.6797145373394,1925.6174481260377,1.18
baseline_15p,25,15,-5887.251694008151,-3954.667741612294,1932.5839523958575,1.25
baseline_15p,26,15,-5974.341567699155,-3979.424173519498,1994.9173941796575,1.26
baseline_15p,27,15,-6314.78483437063,-4262.157002730706,2052.627831639924,0.7
baseline_15p,28,15,-5045.7884361304,-3251.7924665632954,1793.995969567105,1.47
baseline_15p,29,15,-6608.910294971673,-4459.754363888668,2149.1559310830044,0.58
baseline_15p,30,15,-6872.936440755621,-4665.00119519735,2207.935245558271,-0.48
baseline_15p,31,15,-6396.165949835821,-4296.579139490064,2099.586810345757,1.15
