method,violation,time,u1,u2,u3,u4,u5,u6,total_cost,total_profit
ip,-0.0,0.16835236549377441,-1476.3947015455,-302.12060690015767,-673.9385071434117,-26.912583506648758,-65.26704974148402,-67.36094946046978,-2611.994398297672,2611.994398297672
lp,-0.0,0.09464812278747559,-1476.3947015455,-302.12060690015767,-673.9385071434117,-26.912583506648758,-65.26704974148402,-67.36094946046978,-2611.994398297672,2611.994398297672
pca,71.54608579357728,0.16835236549377441,-1424.4420190037854,-371.9963872956815,-815.5559919982048,-0.0,-0.0,-0.0,-2611.9943982976715,2611.9943982976715
chp,-0.0,26.629127025604248,-1476.3947015455014,-302.1206069001527,-673.938507143411,-26.91258350664816,-65.26704974148839,-67.36094946047024,-2611.9943982976715,2611.9943982976715
rowgen,-0.0,2.3213818073272705,-1545.6772326873102,-337.74498455872094,-728.5721810516426,-3.907985046680551e-14,-8.171241461241152e-14,0.0,-2611.994398297674,2611.994398297674
