time,electricity,heat,hydro
0,34.87308,57.497142857142855,0.0
1,33.435453333333335,57.497142857142855,0.0
2,33.435453333333335,57.497142857142855,0.0
3,33.435453333333335,57.497142857142855,0.0
4,33.435453333333335,57.497142857142855,0.0
5,33.435453333333335,57.497142857142855,0.0
6,33.91608,68.99657142857143,0.0
7,33.91608,68.99657142857143,0.0
8,32.88677333333333,68.99657142857143,0.0
9,50.666666666666664,68.99657142857143,3.3333333333333335
10,53.8272,57.497142857142855,3.3333333333333335
11,53.8272,57.497142857142855,3.485821656123981
12,0.0,57.497142857142855,3.3333333333333335
13,5.178599999999999,57.497142857142855,3.3333333333333335
14,51.43824612811148,57.497142857142855,3.3333333333333335
15,47.55333333333333,57.497142857142855,3.3333333333333335
16,56.61333333333334,57.497142857142855,3.3333333333333335
17,56.61333333333334,68.99657142857143,3.3333333333333335
18,56.61333333333334,68.99657142857143,3.3333333333333335
19,56.61333333333334,68.99657142857143,3.3333333333333335
20,56.61333333333334,68.99657142857143,3.3333333333333335
21,56.61333333333334,68.99657142857143,0.0
22,56.61333333333334,68.99657142857143,0.0
23,41.29136,57.497142857142855,0.0
