method,violation,time,u1,u2,u3,u4,u5,u6,total_cost,total_profit
ip,2.7408471873561666,0.5675430297851562,-1072.671390705718,-223.22657996364103,-657.0319234077791,-22.18109024946267,-67.34000000000003,-67.36094946046978,-2109.8119337870708,2109.8119337870708
lp,2.740847187356394,0.10248994827270508,-1072.6713907057183,-223.22657996364097,-657.031923407779,-22.181090249462443,-67.33999999999992,-67.36094946046978,-2109.8119337870703,2109.8119337870703
pca,162.11186676583247,0.5675430297851562,-906.3188927856795,-319.7291485546662,-883.7631015874008,-0.0,-0.0,-0.0,-2109.8111429277465,2109.8111429277465
chp,-0.0,26.194549798965454,-1099.782591508596,-216.88287644539423,-650.5697001855682,-7.875816187035127,-67.34000000000304,-67.36094946047388,-2109.8119337870703,2109.8119337870703
rowgen,-0.0,5.622243165969849,-1114.6134677968355,-281.03882406765433,-714.158851063257,-5.3290705182007514e-14,-8.171241461241152e-14,0.0,-2109.811142927747,2109.811142927747
