method,violation,time,u1,u2,u3,u4,u5,u6,total_cost,total_profit
ip,13.55722317287924,0.17311310768127441,-1175.6393501149878,8.824024707137063,-197.3680783326748,-583.6376359200158,-80.5834008780817,-227.22319323962506,-2255.627633778248,2255.627633778248
lp,,,,,,,,,0.0,0.0
pca,243.6374858718072,0.17311310768127441,-2205.6107306546205,-13.111888391074325,-36.905014732553724,-0.0,-0.0,-0.0,-2255.6276337782488,2255.6276337782488
chp,4.079333201873446,12.495228290557861,-1145.884582210778,-0.6538652638686031,-205.4680603692259,-597.5961599950999,-80.58340087808176,-225.44156506119373,-2255.627633778248,2255.627633778248
rowgen,-1.4210854715202004e-14,2.504316806793213,-1961.9732447828133,-85.31659934382392,-208.33778965160917,0.0,-2.842170943040401e-14,0.0,-2255.6276337782465,2255.6276337782465
brute_force,,3.1705644130706787,,,,,,,,
