run,day,n_players,num_households,base_h2_price_eur,import_factor,pi_res,pi_peak,v_mip,v_chp,gap,eps_bound,time_mip_s,time_cg_s,r_sym,reserve_revenue,pool_standalone_sum,pool_gain_abs,pool_gain_ratio,mech_no_pooling,mech_time_only,mech_full,mech_gain_time,mech_gain_direction,mech_share_direction,n_binding_up,n_binding_dn,settlement_imbalance,stab_method,stab_excess_sigma,stab_holds_sigma,stab_excess_owen,stab_holds_owen,stab_eps_lr,stab_worst_S_size,stab_time_s,peak_value,peak_cost,sum_individual_peaks,coincidence_factor,peak_netting_saving,schema_checks
low_h2_margin_6p,1,6,700,2.0,3.0,56.0,150.0,-2878.617731316115,-2884.2173049004723,-5.599573584357131,0.9332622640595218,0.23,18.81,0.14250000000000002,191.52,0.14250000000000002,0.0,1.0,0.0,0.0,0.14250000000000002,0.0,0.14250000000000002,1.0,24,23,0.0,dinkelbach,-0.0,True,0.9332622640595218,True,0.9332622640595218,1,0.52,0.4495083912969781,67.42625869454672,0.9538125753918206,0.47127538773780864,0.5043041840948426,ok
low_h2_margin_6p,2,6,700,2.0,3.0,56.0,150.0,-2685.942930501027,-2701.946688641579,-16.00375814055178,2.6672930234252967,0.14,15.7,0.14250000000000002,191.52,0.14250000000000002,0.0,1.0,0.0,0.0,0.14250000000000002,0.0,0.14250000000000002,1.0,24,23,5.684341886080802e-14,dinkelbach,-0.0,True,2.6672930234252945,True,2.6672930234252967,1,0.53,0.2884563994566226,43.26845991849339,0.9157744555652804,0.31498629133367456,0.6273180561086578,ok
low_h2_margin_6p,3,6,700,2.0,3.0,56.0,150.0,-2449.2608079451848,-2466.1006752675526,-16.83986732236781,2.8066445537279683,0.18,18.15,0.14250000000000002,191.52,0.14250000000000002,0.0,1.0,0.0,0.05280465376000781,0.1424999999999999,0.05280465376000781,0.08969534623999209,0.629441026245559,24,23,2.842170943040401e-14,dinkelbach,-0.0,True,2.8066445537279705,True,2.8066445537279683,1,0.52,0.48376766845794644,72.56515026869197,0.9920868708865903,0.4876263184751368,0.5083192024286438,ok
low_h2_margin_6p,4,6,700,2.0,3.0,56.0,150.0,-2809.6901980892167,-2830.3685188359127,-20.678320746696045,3.4463867911160073,1.25,16.25,0.14250000000000002,191.52,0.14250000000000002,0.0,1.0,0.0,0.0,0.14250000000000002,0.0,0.14250000000000002,1.0,24,23,2.8421709430404007e-13,dinkelbach,-0.0,True,3.446386791116005,True,3.4463867911160073,1,0.89,0.491961597434013,73.79423961510196,0.9538125753918206,0.5157843481272179,0.4618509779578076,ok
low_h2_margin_6p,5,6,700,2.0,3.0,56.0,150.0,-2827.352890358606,-2835.3468287301334,-7.9939383715272925,1.3323230619212154,0.17,19.46,0.14250000000000002,191.52,0.14250000000000002,0.0,1.0,0.0,0.03156433536683138,0.14250000000000002,0.03156433536683138,0.11093566463316865,0.7784958921625869,24,24,4.547473508864641e-13,dinkelbach,-0.0,True,1.3323230619212154,True,1.3323230619212154,1,0.43,0.41260854927928503,61.89128239189275,0.9538125753918206,0.43258870759780854,0.5412040261125356,ok
low_h2_margin_6p,6,6,700,2.0,3.0,56.0,150.0,-3090.7630348396133,-3099.6989019765892,-8.935867136975958,1.489311189495993,0.13,15.85,0.14250000000000002,191.52,0.14250000000000002,0.0,1.0,0.0,0.0,0.14250000000000002,0.0,0.14250000000000002,1.0,24,23,0.0,dinkelbach,-0.0,True,1.489311189495993,True,1.489311189495993,1,0.64,0.3072604301791416,46.08906452687124,0.9538125753918206,0.32213921068604157,0.646552145212679,ok
low_h2_margin_6p,7,6,700,2.0,3.0,56.0,150.0,-2993.9078347391937,-3002.0623675237125,-8.154532784518778,1.3590887974197965,0.64,16.72,0.14250000000000002,191.52,0.14250000000000002,0.0,1.0,0.0,0.003145590132341064,0.14250000000000002,0.003145590132341064,0.13935440986765896,0.9779256832818172,21,17,0.0,dinkelbach,-0.0,True,1.359088797419794,True,1.3590887974197965,1,0.56,0.18667492082149284,28.001238123223928,0.9538125753918206,0.1957144680597316,0.7671376545703278,ok
low_h2_margin_6p,8,6,700,2.0,3.0,56.0,150.0,-3118.008966756815,-3123.286776548771,-5.27780979195586,0.8796349653259767,0.19,19.46,0.14250000000000002,191.52,0.14250000000000002,0.0,1.0,0.0,0.0,0.14249999999999993,0.0,0.14249999999999993,1.0,24,23,2.5011104298755527e-12,dinkelbach,-0.0,True,0.8796349653259767,True,0.8796349653259767,1,0.42,0.13743906445993337,20.615859668990005,0.9538125753918206,0.14409441435962847,0.8163735109318873,ok
low_h2_margin_6p,9,6,700,2.0,3.0,56.0,150.0,-3154.8496541959407,-3162.507368137124,-7.657713941183374,1.2762856568638956,0.17,18.36,0.14250000000000002,191.52,0.14250000000000002,0.0,1.0,0.0,0.0,0.14250000000000002,0.0,0.14250000000000002,1.0,24,23,2.842170943040401e-14,dinkelbach,-0.0,True,1.276285656863898,True,1.2762856568638956,1,0.56,0.23614110731444377,35.42116609716656,0.9538125753918206,0.24757600539858513,0.7176714680773768,ok
low_h2_margin_6p,10,6,700,2.0,3.0,56.0,150.0,-2257.9641801573316,-2277.937555620735,-19.9733754634035,3.3288959105672498,1.31,18.75,0.14250000000000002,191.52,0.14250000000000002,0.0,1.0,0.0,0.0,0.14250000000000002,0.0,0.14250000000000002,1.0,24,23,0.0,dinkelbach,-0.0,True,3.328895910567301,True,3.3288959105672498,2,0.44,0.9481104402303404,142.21656603455105,1.0461503270403625,0.9062850870702452,0.09803988681002207,ok
