time,electricity,heat,hydro
0,81.99,45.99771428571428,0.0
1,78.61,45.99771428571428,0.0
2,63.674099999999996,45.99771428571428,0.0
3,78.61,45.99771428571428,0.0
4,69.35274405565023,45.99771428571428,0.0
5,69.35274405565023,45.99771428571428,0.0
6,53.16,68.99657142857143,0.0
7,61.559999999999995,68.99657142857143,0.0
8,69.35274405565023,68.99657142857143,0.0
9,76.0,68.99657142857143,3.6480311483147974
10,71.2,68.99657142857143,4.383064177880136
11,71.2,68.99657142857143,4.5947376403756355
12,0.0,68.99657142857143,3.3333333333333335
13,6.85,68.99657142857143,3.3333333333333335
14,71.2,68.99657142857143,3.832301778493455
15,71.32999999999998,68.99657142857143,3.8392076665721637
16,84.92,68.99657142857143,4.561138581877304
17,96.77999999999999,68.99657142857143,5.0
18,96.78,68.99657142857143,5.0
19,96.77999999999999,68.99657142857143,4.631808612288238
20,96.77999999999999,68.99657142857143,4.631808612288238
21,65.08666666666667,68.99657142857143,0.0
22,65.08666666666667,68.99657142857143,0.0
23,65.08666666666667,68.99657142857143,0.0
