time,electricity,heat,hydro
0,69.28571428571429,57.497142857142855,0.0
1,67.38000000000001,57.497142857142855,0.0
2,61.80716056624354,57.497142857142855,0.0
3,61.80716056624354,57.497142857142855,0.0
4,61.80716056624356,57.497142857142855,0.0
5,61.80716056624354,57.497142857142855,0.0
6,56.957142857142856,71.00634920634921,0.0
7,61.80716056624354,68.99657142857143,0.0
8,61.80716056624354,68.99657142857143,0.0
9,65.14285714285715,68.99657142857143,3.5105329273535637
10,61.02857142857143,57.497142857142855,3.764055009611543
11,61.02857142857143,57.497142857142855,3.945489406036259
12,0.0,57.497142857142855,3.3333333333333335
13,5.871428571428572,57.497142857142855,3.3333333333333335
14,61.02857142857143,57.497142857142855,3.3333333333333335
15,61.14,57.497142857142855,3.3333333333333335
16,69.28571428571429,57.497142857142855,3.7306106793124494
17,69.28571428571429,68.99657142857143,3.7306106793124534
18,69.28571428571429,68.99657142857143,3.7306106793124534
19,69.28571428571429,68.99657142857143,3.3333333333333335
20,69.28571428571429,68.99657142857143,3.7306106793124494
21,69.28571428571429,68.99657142857143,0.0
22,69.28571428571429,68.99657142857143,0.0
23,69.28571428571429,57.497142857142855,0.0
