method,violation,time,u1,u2,u3,u4,u5,u6,total_cost,total_profit
ip,-0.0,0.1590578556060791,-1698.2395711431006,-89.24653736340616,-596.214071782916,-63.894200781243285,-47.746735327942304,-67.36094946046978,-2562.702065859078,2562.702065859078
lp,-0.0,0.08247184753417969,-1698.2395711431006,-93.33745337099151,-596.214071782916,-63.894200781243285,-43.655819320356954,-67.36094946046978,-2562.702065859078,2562.702065859078
pca,90.97974803066819,0.1590578556060791,-1910.8371133761755,-43.8855463861717,-607.9794060967313,-0.0,-0.0,-0.0,-2562.702065859078,2562.702065859078
chp,-0.0,77.6195216178894,-1698.2395711431077,-91.50784887787466,-596.2140717829208,-63.8942007812401,-45.485423813471186,-67.36094946046364,-2562.702065859078,2562.702065859078
rowgen,-4.637144002117566e-10,2.2567214965820312,-1819.8573653455082,-107.63070798689932,-635.2139925266705,0.0,-8.171241461241152e-14,0.0,-2562.702065859078,2562.702065859078
