scenario,run_id,use_korean_price,use_tou_elec,import_factor,month,hp_cap,els_cap,num_households,nu_cop,c_su_G,c_su_H,base_h2_price_eur,e_E_cap_ratio,e_H_cap_ratio,e_G_cap_ratio,eff_type,segments,peak_penalty_ratio,wind_el_ratio,solar_el_ratio,storage_power_ratio_E,storage_power_ratio_G,storage_power_ratio_H,storage_capacity_ratio_E,storage_capacity_ratio_G,storage_capacity_ratio_H,initial_soc_ratio_E,initial_soc_ratio_G,initial_soc_ratio_H,day,solve_time_ip,profit_ip_u1,profit_ip_u2,profit_ip_u3,profit_ip_u4,profit_ip_u5,profit_ip_u6,violation_ip,blocking_coalition_ip,isimp_ip,solve_time_chp_smooth,solve_time_chp_smooth_total,profit_chp_smooth_u1,profit_chp_smooth_u2,profit_chp_smooth_u3,profit_chp_smooth_u4,profit_chp_smooth_u5,profit_chp_smooth_u6,violation_chp_smooth,blocking_coalition_chp_smooth,isimp_chp_smooth
baseline_csuG0,0,True,False,1.5,1,0.8,1,700,3.28,0.0,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,1,0.5259506702423096,1162.9994278172776,77.15582693255152,492.43633728222983,167.80692939258586,118.07072090547013,134.72189892093968,2.1959495848229107,"['u1', 'u2', 'u4', 'u5']",True,8.969960927963257,9.495911598205566,1201.4406753209569,78.32619956045858,479.4667855602404,143.58994129871803,115.64564058974298,134.7218989209373,-2.6006766185027175e-12,,True
baseline_csuG0,1,True,False,1.5,1,0.8,1,700,3.28,0.0,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,2,0.36324620246887207,1205.0121141948705,130.97692663964878,446.9410622519962,69.70794801622037,81.27020243411266,134.7218989209398,-0.0,,True,8.419528722763062,8.782774925231934,1203.1196854791865,135.95247433082992,447.05453439576445,69.7232663328657,78.05829299819987,134.72189892094195,-0.0,,True
baseline_csuG0,2,True,False,1.5,1,0.8,1,700,3.28,0.0,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,3,0.34171533584594727,1001.7919814608074,74.1758442533646,456.98055632828186,89.23953001824492,116.29748161781248,134.72189892093968,3.856021472903837e-13,,True,8.552181720733643,8.89389705657959,997.7029369994943,77.96221315815527,457.8411583366932,91.23445902122171,113.74462616294562,134.7218989209406,-2.7188928149890743e-11,,True
baseline_csuG0,3,True,False,1.5,1,0.8,1,700,3.28,0.0,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,4,0.38903188705444336,1291.2529265601736,81.46190841658672,463.4853926134052,105.68903969659505,79.76401123240066,134.72189892093968,-0.0,,True,8.319939136505127,8.70897102355957,1293.5917573215218,85.92276159811964,462.7338846931473,104.1017168555062,75.30315805086701,134.72189892093957,9.523599353310486e-13,,True
baseline_csuG0,4,True,False,1.5,1,0.8,1,700,3.28,0.0,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,5,0.37748098373413086,1190.8501383965872,75.83541495471763,472.51061370499417,129.8450610383336,109.24518574869347,134.72189892093968,-1.6493160955789574e-12,,True,10.457759857177734,10.835240840911865,1219.176150073287,78.41253544003439,464.15770930496456,113.69035647475914,102.84966255027848,134.72189892094286,-0.0,,True
baseline_csuG0,5,True,False,1.5,1,0.8,1,700,3.28,0.0,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,6,0.35625481605529785,1310.104842888419,142.89297504196483,493.06173150552524,168.41790761040568,117.33906253444644,134.72189892093968,-0.0,,True,8.943144083023071,9.29939889907837,1312.655349846979,145.25464832418865,492.2314941050904,166.6976380522733,114.97738925222961,134.72189892094013,-0.0,,True
baseline_csuG0,6,True,False,1.5,1,0.8,1,700,3.28,0.0,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,7,0.33319950103759766,1383.5243568184135,128.84705426569295,445.7341191321119,67.60305212777405,81.27498973410297,134.72189892093968,2.2302021340792066e-12,,True,8.49460744857788,8.827806949615479,1382.5131021823952,134.08830947329304,445.5191772634605,66.7995777284325,78.06340543051317,134.72189892094048,-2.8827216591687075e-11,,True
baseline_csuG0,7,True,False,1.5,1,0.8,1,700,3.28,0.0,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,8,0.365358829498291,1311.8626190411517,128.46271015579745,486.66620451143274,157.72270159131995,118.52042283155066,134.72189892093968,-0.0,,True,9.313715696334839,9.67907452583313,1304.062017094009,133.54115922084557,487.59980563848876,159.51125334636765,118.52042283154208,134.72189892093922,2.736727628136009e-12,,True
baseline_csuG0,8,True,False,1.5,1,0.8,1,700,3.28,0.0,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,9,0.32314395904541016,1352.8164220131155,135.87895587547794,491.2591110324838,166.52568285341556,118.52042283155066,134.72189892093968,-0.0,,True,11.13236403465271,11.45550799369812,1351.79485884939,137.32280183280315,491.18558138687035,166.17692970542942,118.52042283154901,134.7218989209415,-0.0,,True
baseline_csuG0,9,True,False,1.5,1,0.8,1,700,3.28,0.0,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,10,0.3978691101074219,998.6447474318104,95.3771972069893,458.3965237203802,93.44757522173546,50.67959472450303,134.72189892093968,-0.0,,True,9.49567198753357,9.893541097640991,997.167932385,100.37419555686124,458.64541876366354,93.85069578639616,46.50739581349586,134.72189892094104,-0.0,,True
