method,violation,time,u1,u2,u3,u4,u5,u6,total_cost,total_profit
ip,-0.0,1.0155620574951172,-1103.5207756346697,-218.52118835129772,-753.2142931723015,-5.834388938757229,-0.33669999999989386,-0.4041656967624476,-2081.8315117937886,2081.8315117937886
lp,4.20605015491838,0.09132933616638184,-1069.0260635338518,-225.47016535485744,-761.7857010111245,-24.808716197192382,-0.33669999999989386,-0.4041656967624476,-2081.8315117937886,2081.8315117937886
pca,245.7317028222426,1.0155620574951172,-796.9646046456153,-281.1513877729626,-1003.71470362412,-0.0,-0.0,-0.0,-2081.830696042698,2081.830696042698
chp,-0.0,26.97095799446106,-1095.032588225065,-220.2311379510466,-755.3234777883664,-10.503442133590681,-0.3366999989566466,-0.4041656967633571,-2081.8315117937886,2081.8315117937886
rowgen,-6.394884621840902e-13,3.7656753063201904,-1115.7429116481728,-215.45341684354594,-750.6343675509792,-5.3290705182007514e-14,0.0,-5.755396159656812e-13,-2081.8306960426985,2081.8306960426985
