method,violation,time,u1,u2,u3,u4,u5,u6,total_cost,total_profit
ip,2.133230832159768,0.16464638710021973,-1120.6422986451596,-77.48482511173144,-492.4363372822297,-167.80692939258563,-118.07072090547001,-134.72189892093957,-2111.1630102581157,2111.1630102581157
lp,-0.0,0.08236408233642578,-1148.4992931838185,-79.65737997060674,-483.13702735101776,-150.50395247295694,-114.64345835877657,-134.72189892093957,-2111.163010258116,2111.163010258116
pca,155.06057753249996,0.16464638710021973,-1563.6630197484058,-93.58026905772236,-453.91972145198855,-0.0,-0.0,-0.0,-2111.1630102581166,2111.1630102581166
chp,7.455141295964474e-10,22.968448162078857,-1156.3407183276902,-78.65519773964598,-480.4640281039526,-145.33552657614928,-115.64564058973849,-134.72189892093957,-2111.163010258116,2111.163010258116
rowgen,-0.0,3.150629758834839,-1408.6024422159055,-152.2113074487969,-550.3492605934133,0.0,0.0,0.0,-2111.1630102581157,2111.1630102581157
brute_force,,5.475750207901001,,,,,,,,
