run,day,n_players,num_households,base_h2_price_eur,import_factor,pi_res,pi_peak,v_mip,v_chp,gap,eps_bound,time_mip_s,time_cg_s,r_sym,reserve_revenue,product,n_blocks,block_hours,r_sym_mwh,r_up_mwh,r_dn_mwh,pool_standalone_mwh,pool_gain_mwh,pool_blocks_with_gain,mech_no_pooling_mwh,mech_full_mwh,mech_gain_time_mwh,mech_gain_direction_mwh,pool_standalone_sum,pool_gain_abs,pool_gain_ratio,mech_no_pooling,mech_time_only,mech_full,mech_gain_time,mech_gain_direction,mech_share_direction,n_binding_up,n_binding_dn,settlement_imbalance,stab_method,stab_excess_sigma,stab_holds_sigma,stab_excess_owen,stab_holds_owen,stab_eps_lr,stab_worst_S_size,stab_time_s,stab_certified,peak_value,peak_cost,sum_individual_peaks,coincidence_factor,peak_netting_saving,schema_checks
baseline_30p,3,30,700,3.3333333333333335,1.5,56.0,150.0,-8182.008378165703,-8187.360710395736,-5.352332230032516,0.17841107433441722,17.38,114.16,,4554.393952479635,symmetric,6,4,81.32846343713635,,,70.32649499943727,11.00196843769908,4,50.108563019462665,81.3284627501585,5.838607767941022,25.3812919627548,,,1.1564413019273476,,,,,,,24,17,3.8596059052442797,,,,,,,,,,4.429988702841439,664.4983054262159,7.5804860665441876,0.5843937531120605,3.1504973637027485,ok
baseline_30p,4,30,700,3.3333333333333335,1.5,56.0,150.0,-9052.341398398989,-9058.119517032608,-5.77811863361967,0.19260395445398898,10.01,122.61,,4344.7579567949615,symmetric,6,4,77.58496351419575,,,70.83444021150073,6.750523302695015,3,50.68628720761038,77.58496326290123,5.010008234227894,21.888667821062953,,,1.0953000162426496,,,,,,,24,18,5.117579115176341,,,,,,,,,,3.6844225577763763,552.6633836664564,7.414593852752975,0.49691495325915686,3.7301712949765986,ok
baseline_30p,5,30,700,3.3333333333333335,1.5,56.0,150.0,-8844.19455554954,-8849.737185591595,-5.542630042054952,0.1847543347351651,9.78,103.14,,4717.7013523193655,symmetric,6,4,84.24466700570295,,,70.60156983444202,13.643097171260932,5,49.2317305224907,84.24466699150072,5.909423463426714,29.103513005583316,,,1.1932407055997971,,,,,,,24,20,1.959979326587927,,,,,,,,,,4.4836949382534605,672.5542407380191,7.492284951800043,0.5984415925312931,3.0085900135465824,ok
baseline_30p,6,30,700,3.3333333333333335,1.5,56.0,150.0,-9604.267976572599,-9614.143562906318,-9.875586333719184,0.3291862111239728,29.98,111.07,,4502.737194034521,symmetric,6,4,80.40602132204502,,,70.8195641660681,9.58645715597691,4,55.28385555709866,80.40601893480866,5.527108095975339,19.595055281734652,,,1.1353645319462455,,,,,,,24,22,0.4594079339503878,,,,,,,,,,3.770164144360523,565.5246216540785,7.467520172878798,0.5048749862174245,3.697356028518275,ok
baseline_30p,7,30,700,3.3333333333333335,1.5,56.0,150.0,-9174.001559410042,-9184.673162687042,-10.671603277000031,0.35572010923333436,44.39,121.23,,4390.12787202748,symmetric,6,4,78.3951405719193,,,70.09638953163311,8.2987510402862,3,48.27022084753328,78.39514013613902,6.305730181490036,23.819189107115708,,,1.1183905632763171,,,,,,,23,19,1.2714642347391418,,,,,,,,,,3.9372675982632073,590.5901397394811,7.425397649440499,0.5302433329694981,3.4881300511772917,ok
baseline_30p,8,30,700,3.3333333333333335,1.5,56.0,150.0,-9424.606516346956,-9431.879775440058,-7.273259093102752,0.24244196977009172,31.57,116.83,,4322.263659879762,symmetric,6,4,77.18327964071003,,,70.17150298014957,7.0117766605604555,3,50.09499970722543,77.18327964071001,5.640962215782986,21.447317717701594,,,1.0999234213715499,,,,,,,23,17,4.192419785150378,,,,,,,,,,3.6726013402394404,550.8902010359161,7.412490482254832,0.4954611879814865,3.7398891420153912,ok
baseline_30p,9,30,700,3.3333333333333335,1.5,56.0,150.0,-9711.096961334426,-9722.60337498921,-11.50641365478441,0.383547121826147,112.26,115.39,,4460.430152256918,symmetric,6,4,79.65053843315924,,,70.84006750264874,8.810470930510503,4,53.534099441380604,79.65053238949339,5.219706021466905,20.896726926645897,,,1.1243712949621494,,,,,,,23,14,6.873093070683353,,,,,,,,,,3.561822729645948,534.2734094468922,7.435246181001005,0.4790457024472619,3.8734234513550567,r_sym_le_max_headroom_all_t
baseline_30p,10,30,700,3.3333333333333335,1.5,56.0,150.0,-8324.3620970696,-8329.403274897322,-5.041177827723004,0.16803926092410013,4.73,107.73,,4716.877636870443,symmetric,6,4,84.22995780125791,,,70.38041482334508,13.84954297791282,5,47.83402039143114,84.22995780125788,5.616762092499436,30.779175317327294,,,1.1967812069973613,,,,,,,23,22,2.239609883014964,,,,,,,,,,4.681947460217742,702.2921190326613,7.480250047951982,0.6259078814483766,2.7983025877342396,ok
baseline_30p,11,30,700,3.3333333333333335,1.5,56.0,150.0,-8044.720531911671,-8056.848236750322,-12.12770483865097,0.40425682795503237,69.7,86.1,,4153.941203302686,symmetric,6,4,74.17752148754796,,,70.43159167905779,3.745929808490171,3,40.47196547337321,74.17752148754793,8.824800813939369,24.880755200235363,,,1.053185363544808,,,,,,,23,18,4.230900426035987,,,,,,,,,,4.046761013444918,607.0141520167377,7.417329346040506,0.5455819506794782,3.370568332595588,ok
baseline_30p,12,30,700,3.3333333333333335,1.5,56.0,150.0,-8048.5787548118205,-8054.505864172183,-5.92710936036201,0.197570312012067,84.59,104.26,,4612.695643335341,symmetric,6,4,82.36956505955965,,,70.65115953827284,11.718405521286805,5,48.35943431286975,82.3695643559104,6.044825600339518,27.96530444270114,,,1.1658628902606867,,,,,,,23,22,1.6715191107796272,,,,,,,,,,4.576014234391856,686.4021351587784,7.341705342905489,0.6232903692891729,2.765691108513633,ok
baseline_30p,13,30,700,3.3333333333333335,1.5,56.0,150.0,-8835.273118056466,-8848.418217840386,-13.145099783920159,0.43816999279733865,72.52,118.3,,4336.068896842233,symmetric,6,4,77.42980172932559,,,70.06832871808902,7.361473011236573,3,51.99561669039021,77.42980109442006,3.8280524983105004,21.60613190571936,,,1.1050613472008803,,,,,,,24,20,2.9871842921347707,,,,,,,,,,4.193728098282647,629.0592147423971,7.424672993665807,0.5648367412087283,3.2309448953831597,ok
baseline_30p,14,30,700,3.3333333333333335,1.5,56.0,150.0,-8301.353766494956,-8306.57502493284,-5.22125843788308,0.174041947929436,28.16,116.4,,4618.976950926932,symmetric,6,4,82.48173126655234,,,70.64449508202024,11.83723618453211,5,44.311501029861205,82.48173089297137,7.231220302090535,30.93900956101963,,,1.1675606311686244,,,,,,,22,18,2.0533670419208647,,,,,,,,,,4.462507800379661,669.3761700569491,7.482027634263275,0.5964302751227496,3.0195198338836144,ok
baseline_30p,15,30,700,3.3333333333333335,1.5,56.0,150.0,-9444.834911595926,-9457.470029522005,-12.635117926078237,0.42117059753594127,28.19,106.08,,4470.122848857195,symmetric,6,4,79.82362230102135,,,70.83444021150073,8.98918208952061,5,48.06937777206014,79.82362230102132,4.483567711906195,27.270676817054976,,,1.126904117018223,,,,,,,24,18,3.9272477790736957,,,,,,,,,,3.63162210322411,544.7433154836165,7.460294565358517,0.48679339286244205,3.828672462134407,ok
baseline_30p,16,30,700,3.3333333333333335,1.5,56.0,150.0,-8731.605583347422,-8738.90034765722,-7.294764309797756,0.24315881032659187,34.52,123.39,,4297.142168213975,symmetric,6,4,76.73468157524957,,,70.08211370186604,6.652567873383532,3,47.271865594804574,76.73468157524954,5.048615142363662,24.4142008380813,,,1.0949253314716505,,,,,,,24,20,0.32332851509727334,,,,,,,,,,4.008452693255644,601.2679039883466,7.403674638952016,0.5414139449303295,3.395221945696372,ok
baseline_30p,17,30,700,3.3333333333333335,1.5,56.0,150.0,-7963.817007920827,-7971.85857497191,-8.041567051082893,0.26805223503609643,116.6,109.69,,4599.438812217963,symmetric,6,4,82.13283593246362,,,70.42085140515252,11.711984527311106,5,47.031806580497886,82.132830145731,8.155984209255099,26.945039355978018,,,1.1663141568670976,,,,,,,23,19,1.0850347974519536,,,,,,,,,,4.62074706128304,693.112059192456,7.461079519494759,0.6193134718923278,2.8403324582117193,r_sym_le_max_headroom_all_t
