run,day,n_players,c_N,sum_kappa,v_N,time_s
baseline_30p,1,30,-8967.624095523932,-5218.155542482053,3749.468553041879,0.86
baseline_30p,2,30,-8735.507821993198,-5025.555057678055,3709.952764315143,3.35
baseline_30p,3,30,-8182.008378165703,-4683.828809641608,3498.179568524095,1.84
baseline_30p,4,30,-9052.341398398989,-5226.69224751171,3825.6491508872787,0.86
baseline_30p,5,30,-8844.19455554954,-5124.7591063050695,3719.435449244471,0.99
baseline_30p,6,30,-9604.267976572599,-5628.299067048727,3975.968909523872,1.48
baseline_30p,7,30,-9174.001559410042,-5333.639607762045,3840.3619516479976,1.12
baseline_30p,8,30,-9424.606516346956,-5548.487507211275,3876.1190091356802,0.98
baseline_30p,9,30,-9711.096961334426,-5716.748272738575,3994.348688595851,1.18
baseline_30p,10,30,-8324.3620970696,-4732.698271183314,3591.663825886285,0.96
baseline_30p,11,30,-8044.720531911671,-4532.151445019015,3512.569086892656,1.13
baseline_30p,12,30,-8048.5787548118205,-4583.1521709686585,3465.426583843162,1.35
baseline_30p,13,30,-8835.273118056466,-5106.005630580784,3729.267487475682,1.27
baseline_30p,14,30,-8301.353766494956,-4752.89155181302,3548.4622146819365,1.18
baseline_30p,15,30,-9444.834911595926,-5519.151573301637,3925.6833382942896,0.74
baseline_30p,16,30,-8731.605583347422,-5017.282874382742,3714.32270896468,1.21
baseline_30p,17,30,-7963.817007920827,-4521.825273733075,3441.9917341877517,1.14
baseline_30p,18,30,-8457.550594583408,-4844.017016004979,3613.533578578429,1.47
baseline_30p,19,30,-8445.118485391817,-4864.561671715093,3580.5568136767233,1.67
baseline_30p,20,30,-8922.90944792558,-5156.558024939621,3766.3514229859593,0.95
baseline_30p,21,30,-8575.145936707198,-4938.110715323737,3637.0352213834612,0.92
baseline_30p,22,30,-9168.337846220196,-5352.966728757142,3815.3711174630544,0.95
baseline_30p,23,30,-8985.352525298245,-5161.081162520939,3824.2713627773064,0.71
baseline_30p,24,30,-7803.88328986273,-4383.808405834709,3420.0748840280203,1.49
baseline_30p,25,30,-8068.434265918775,-4611.107392048117,3457.3268738706583,1.42
baseline_30p,26,30,-8210.117654537386,-4643.2152539164745,3566.902400620911,1.59
baseline_30p,27,30,-8728.128968827383,-5055.304897961067,3672.824070866316,1.08
baseline_30p,28,30,-6777.5198443489435,-3616.3231309510606,3161.196713397883,1.84
baseline_30p,29,30,-9151.348724238314,-5333.976144473872,3817.372579764442,0.93
baseline_30p,30,30,-9581.684103822467,-5631.077689209654,3950.606414612813,0.85
baseline_30p,31,30,-8865.050701076796,-5109.707703253597,3755.342997823199,1.5
