scenario,run_id,use_korean_price,use_tou_elec,import_factor,month,hp_cap,els_cap,num_households,nu_cop,c_su_G,c_su_H,base_h2_price_eur,e_E_cap_ratio,e_H_cap_ratio,e_G_cap_ratio,eff_type,segments,peak_penalty_ratio,wind_el_ratio,solar_el_ratio,storage_power_ratio_E,storage_power_ratio_G,storage_power_ratio_H,storage_capacity_ratio_E,storage_capacity_ratio_G,storage_capacity_ratio_H,initial_soc_ratio_E,initial_soc_ratio_G,initial_soc_ratio_H,day,solve_time_ip,profit_ip_u1,profit_ip_u2,profit_ip_u3,profit_ip_u4,profit_ip_u5,profit_ip_u6,profit_ip_u7,profit_ip_u8,profit_ip_u9,profit_ip_u10,profit_ip_u11,profit_ip_u12,profit_ip_u13,profit_ip_u14,profit_ip_u15,violation_ip,blocking_coalition_ip,isimp_ip,solve_time_chp_smooth,solve_time_chp_smooth_total,profit_chp_smooth_u1,profit_chp_smooth_u2,profit_chp_smooth_u3,profit_chp_smooth_u4,profit_chp_smooth_u5,profit_chp_smooth_u6,profit_chp_smooth_u7,profit_chp_smooth_u8,profit_chp_smooth_u9,profit_chp_smooth_u10,profit_chp_smooth_u11,profit_chp_smooth_u12,profit_chp_smooth_u13,profit_chp_smooth_u14,profit_chp_smooth_u15,violation_chp_smooth,blocking_coalition_chp_smooth,isimp_chp_smooth
15player_baseline,10,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,11,1.119409084,1088.09886,42.91297857,430.3466302,77.77465809,90.89307567,209.7919958,388.900367,49.20055629,440.7000911,594.4785478,47.73552096,113.2783407,100.8499176,334.6930754,300.0293652,3.69E-11,,TRUE,34.63215637,35.75156546,1088.09886,43.97067084,430.3466302,77.77465809,89.52675449,209.7919958,388.900367,50.52555642,440.7000911,594.6373692,47.73552096,113.2783407,99.67472497,334.6930754,300.0293652,3.95E-11,,TRUE
15player_baseline,11,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,12,1.508020878,1096.339602,65.90042903,430.6119961,77.93060759,90.89307567,209.7919958,360.0829996,73.12594486,440.9654569,621.5520091,38.81094857,97.52807869,100.8499176,334.7726852,300.1853147,0,,TRUE,20.64684486,22.15486574,1096.339602,67.42510139,430.6119961,77.93060759,89.49508285,209.7919958,360.0829996,73.69788478,440.9654569,622.0234699,38.81094857,97.52807869,99.6798374,334.7726852,300.1853147,5.12E-11,,TRUE
15player_baseline,12,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,13,1.897337437,1396.856998,66.20162168,433.207118,83.74641761,90.89307567,209.7919958,357.5754476,72.8247522,443.5605789,771.8107071,39.13328191,102.4957693,100.8499176,335.5512218,306.0011247,1.78E-11,,TRUE,27.44733262,29.34467006,1396.856998,67.42510139,433.207118,83.74641761,89.49132391,209.7919958,357.5754476,73.8681079,443.5605789,772.1208161,39.13328191,102.4957693,99.67472497,335.5512218,306.0011247,-1.61E-11,,TRUE
15player_baseline,13,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,14,1.639333963,1195.009159,66.85554721,430.8266302,78.40796815,90.89307567,209.7919958,359.9641996,73.12594486,441.1800911,669.9937791,38.69214857,98.00543924,100.8499176,334.8370754,300.6626753,0,,TRUE,20.01969028,21.65902424,1195.009159,67.42510139,430.8266302,78.40796815,89.59472922,209.7919958,359.9641996,73.59029657,441.1800911,671.313765,38.69214857,98.00543924,99.79437227,334.8370754,300.6626753,2.65E-10,,TRUE
15player_baseline,14,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,15,1.318553209,1633.88671,65.56487623,430.6119961,77.93060759,90.89307567,209.7919958,360.0829996,73.46149766,440.9654569,890.3255632,38.81094857,97.52807869,100.8499176,334.7726852,300.1853147,0,,TRUE,21.34752059,22.6660738,1632.731881,67.42510139,430.8266302,78.40796815,89.59472922,209.7919958,359.9641996,73.64339786,441.1749637,890.1220243,38.69214857,98.00543924,99.79437227,334.8241974,300.6626753,0,,TRUE
15player_baseline,15,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,16,1.212527275,1353.595604,66.45788511,430.3466302,77.77465809,90.89307567,209.7919958,360.3427009,72.8247522,440.7000911,749.923747,39.13328191,97.35418575,100.8499176,334.6930754,300.0293652,2.47E-12,,TRUE,21.53070116,22.74322844,1353.595604,67.42510139,430.3466302,77.77465809,89.52675449,209.7919958,360.3427009,73.66688988,440.7000911,750.6559069,39.13328191,97.35418575,99.67472497,334.6930754,300.0293652,8.28E-11,,TRUE
15player_baseline,16,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,17,1.402510881,1073.7452,16.15627169,430.6119961,77.93060759,90.89307567,209.7919958,425.631548,22.82433144,440.9654569,559.3957386,57.39109948,132.6516312,100.8499176,334.7726852,300.1853147,16.08854583,"['u2', 'u3', 'u6', 'u9', 'u10', 'u13', 'u14', 'u15']",TRUE,22.58944988,23.99196076,1072.662117,25.12124211,430.6119961,77.93060759,87.71337757,209.7919958,413.1038405,33.57837054,440.9654569,569.3329646,54.01187861,126.1493684,97.86565409,334.7726852,300.1853147,0.519539369,"['u2', 'u4', 'u5', 'u8', 'u10', 'u11', 'u12', 'u13']",TRUE
15player_baseline,17,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,18,1.309715748,1258.833067,66.79343791,430.3466302,77.77465809,90.89307567,209.7919958,360.3427009,73.12594486,440.7000911,701.9057327,39.13328191,97.35418575,100.8499176,334.6930754,300.0293652,-4.41E-12,,TRUE,26.17432094,27.48403668,1258.833067,67.42510139,430.3466302,77.77465809,89.52675449,209.7919958,360.3427009,73.66688988,440.7000911,703.274638,39.13328191,97.35418575,99.67472497,334.6930754,300.0293652,0,,TRUE
15player_baseline,18,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,19,1.497892857,1267.219809,66.20162168,430.5791867,77.85885367,90.89307567,209.7919958,360.1096663,72.4891994,440.9326475,707.3276656,38.83761524,97.45632477,100.8499176,334.7628424,300.1135608,2.51E-09,,TRUE,23.64334154,25.1412344,1267.219809,67.42510139,430.5791867,77.85885367,89.52380194,209.7919958,360.1096663,73.64352476,440.9326475,707.4943269,38.83761524,97.45632477,99.67472497,334.7628424,300.1135608,1.93E-12,,TRUE
15player_baseline,19,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,20,0.926511765,1428.455113,66.45788511,430.4539473,77.58652619,90.89307567,209.7919958,360.2636996,73.46149766,440.8074081,786.7167558,38.99578191,97.18399729,100.8499176,334.7252706,299.8412333,-9.77E-11,,TRUE,22.08727121,23.01378298,1428.455113,67.42510139,430.4539473,77.58652619,89.52675449,209.7919958,360.2636996,73.83267732,440.8074081,787.9198737,38.99578191,97.18399729,99.67472497,334.7252706,299.8412333,9.47E-13,,TRUE
