sensitivity_analysis,violation_ip,solve_time,profit_ip,violation_lp,solve_time_lp,profit_lp,violation_chp,solve_time_chp,profit_chp
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 15}",-0.0,0.12332701683044434,"{'u1': np.float64(1143.8843989514921), 'u2': np.float64(275.7040337327269), 'u3': np.float64(558.1763515911732), 'u4': np.float64(-5.684341886080802e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,0.07033061981201172,"{'u1': np.float64(1143.8843989514921), 'u2': np.float64(275.7040337327269), 'u3': np.float64(558.1763515911732), 'u4': np.float64(-5.684341886080802e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,15.291747570037842,"{'u1': np.float64(1143.8843989514917), 'u2': np.float64(275.704033732703), 'u3': np.float64(558.1763515911732), 'u4': np.float64(2.2737367544323206e-13), 'u5': np.float64(163.05095082601792), 'u6': np.float64(134.72189892093957)}"
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 16}",-0.0,0.13657212257385254,"{'u1': np.float64(954.0768430445007), 'u2': np.float64(275.7040337327269), 'u3': np.float64(558.1763515911731), 'u4': np.float64(2.842170943040401e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,0.07015061378479004,"{'u1': np.float64(954.0768430445007), 'u2': np.float64(275.7040337327269), 'u3': np.float64(558.1763515911731), 'u4': np.float64(2.842170943040401e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,26.013071298599243,"{'u1': np.float64(954.0768430445012), 'u2': np.float64(275.70403373272893), 'u3': np.float64(558.1763515911723), 'u4': np.float64(-1.7053025658242404e-13), 'u5': np.float64(163.0509508259915), 'u6': np.float64(134.72189892094048)}"
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 17}",-0.0,0.10980105400085449,"{'u1': np.float64(737.7265133334558), 'u2': np.float64(275.70403373272677), 'u3': np.float64(558.1763515911732), 'u4': np.float64(0.0), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,0.0910940170288086,"{'u1': np.float64(737.7265133334558), 'u2': np.float64(275.70403373272677), 'u3': np.float64(558.1763515911732), 'u4': np.float64(0.0), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,26.05272626876831,"{'u1': np.float64(737.7265133334557), 'u2': np.float64(275.70403373268823), 'u3': np.float64(558.1763515911746), 'u4': np.float64(5.684341886080802e-14), 'u5': np.float64(163.05095082603236), 'u6': np.float64(134.7218989209382)}"
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 18}",-0.0,0.13288235664367676,"{'u1': np.float64(886.7148080974057), 'u2': np.float64(275.70403373272677), 'u3': np.float64(558.1763515911731), 'u4': np.float64(2.842170943040401e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,0.0694727897644043,"{'u1': np.float64(886.7148080974057), 'u2': np.float64(275.70403373272677), 'u3': np.float64(558.1763515911731), 'u4': np.float64(2.842170943040401e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,18.341211318969727,"{'u1': np.float64(886.7148080974058), 'u2': np.float64(275.7040337327356), 'u3': np.float64(558.1763515911744), 'u4': np.float64(0.0), 'u5': np.float64(163.05095082598484), 'u6': np.float64(134.72189892093843)}"
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 19}",-0.0,0.12121200561523438,"{'u1': np.float64(896.7610037250604), 'u2': np.float64(275.7040337327269), 'u3': np.float64(558.1763515911731), 'u4': np.float64(1.4210854715202004e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,0.06892275810241699,"{'u1': np.float64(896.7610037250604), 'u2': np.float64(275.7040337327269), 'u3': np.float64(558.1763515911731), 'u4': np.float64(1.4210854715202004e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,15.381336212158203,"{'u1': np.float64(896.7610037250657), 'u2': np.float64(275.70403373268533), 'u3': np.float64(558.1763515911758), 'u4': np.float64(-2.6147972675971687e-12), 'u5': np.float64(163.05095082603378), 'u6': np.float64(134.7218989209357)}"
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 20}",-0.0,0.12301301956176758,"{'u1': np.float64(996.5517565333997), 'u2': np.float64(277.6262615020999), 'u3': np.float64(559.5435149248883), 'u4': np.float64(2.549550656461264), 'u5': np.float64(164.0768531431633), 'u6': np.float64(134.72189892093957)}",-0.0,0.06968164443969727,"{'u1': np.float64(996.5517565333997), 'u2': np.float64(277.6262615020999), 'u3': np.float64(559.5435149248883), 'u4': np.float64(2.549550656461264), 'u5': np.float64(164.0768531431633), 'u6': np.float64(134.72189892093957)}",-0.0,20.681015491485596,"{'u1': np.float64(996.5517565334029), 'u2': np.float64(277.62626150208905), 'u3': np.float64(559.5435149248893), 'u4': np.float64(2.5495506564601556), 'u5': np.float64(164.07685314317274), 'u6': np.float64(134.72189892093797)}"
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 21}",-0.0,0.12270784378051758,"{'u1': np.float64(913.157558124698), 'u2': np.float64(275.70403373272694), 'u3': np.float64(558.1763515911731), 'u4': np.float64(4.263256414560601e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,0.06987857818603516,"{'u1': np.float64(913.157558124698), 'u2': np.float64(275.70403373272694), 'u3': np.float64(558.1763515911731), 'u4': np.float64(4.263256414560601e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,16.95564317703247,"{'u1': np.float64(913.1575581246981), 'u2': np.float64(275.70403373272075), 'u3': np.float64(558.1763515911729), 'u4': np.float64(-5.684341886080802e-14), 'u5': np.float64(163.05095082599985), 'u6': np.float64(134.7218989209398)}"
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 22}",-0.0,0.14136123657226562,"{'u1': np.float64(1080.6658156874944), 'u2': np.float64(275.7040337327269), 'u3': np.float64(558.1763515911732), 'u4': np.float64(-2.842170943040401e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,0.07310104370117188,"{'u1': np.float64(1080.6658156874944), 'u2': np.float64(275.7040337327269), 'u3': np.float64(558.1763515911732), 'u4': np.float64(-2.842170943040401e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,21.207581043243408,"{'u1': np.float64(1080.6658156874948), 'u2': np.float64(275.7040337327216), 'u3': np.float64(558.1763515911728), 'u4': np.float64(-1.7053025658242404e-13), 'u5': np.float64(163.05095082599854), 'u6': np.float64(134.72189892094013)}"
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 23}",-0.0,0.12813210487365723,"{'u1': np.float64(989.9670476165247), 'u2': np.float64(275.7040337327269), 'u3': np.float64(558.1763515911731), 'u4': np.float64(-2.842170943040401e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,0.07230305671691895,"{'u1': np.float64(989.9670476165247), 'u2': np.float64(275.7040337327269), 'u3': np.float64(558.1763515911731), 'u4': np.float64(-2.842170943040401e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,28.579012632369995,"{'u1': np.float64(989.9670476165246), 'u2': np.float64(275.7040337327259), 'u3': np.float64(558.1763515911725), 'u4': np.float64(0.0), 'u5': np.float64(163.05095082599485), 'u6': np.float64(134.72189892094013)}"
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 24}",-0.0,0.1205134391784668,"{'u1': np.float64(706.9173085367855), 'u2': np.float64(275.70403373272694), 'u3': np.float64(558.1763515911731), 'u4': np.float64(2.842170943040401e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,0.08118247985839844,"{'u1': np.float64(706.9173085367855), 'u2': np.float64(275.70403373272694), 'u3': np.float64(558.1763515911731), 'u4': np.float64(2.842170943040401e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,14.347721338272095,"{'u1': np.float64(706.9173085367863), 'u2': np.float64(275.7040337327055), 'u3': np.float64(558.1763515911732), 'u4': np.float64(-2.8421709430404007e-13), 'u5': np.float64(163.05095082601457), 'u6': np.float64(134.72189892093957)}"
