sensitivity_analysis,violation_lp,solve_time,profit_lp
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 1.5750000000000002, 'e_E_cap': 1.5, 'e_H_cap': 1.5}",-1.3157894679594051e-05,0.013949394226074219,"{'u1': np.float64(1055.4143183980698), 'u2': np.float64(5.855428915128137), 'u3': np.float64(732.462976053695), 'u4': np.float64(-17.00910657202273), 'u5': np.float64(-159.2371867007979), 'u6': np.float64(-126.20757436552115), 'u7': np.float64(250.9775786090909)}"
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 1.5750000000000002, 'e_E_cap': 1.5, 'e_H_cap': 2.0}",-1.3157894679594051e-05,0.013797998428344727,"{'u1': np.float64(1055.4143183980698), 'u2': np.float64(5.855428915128137), 'u3': np.float64(732.462976053695), 'u4': np.float64(-17.00910657202273), 'u5': np.float64(-159.2371867007979), 'u6': np.float64(-126.20757436552115), 'u7': np.float64(250.9775786090909)}"
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 1.5750000000000002, 'e_E_cap': 2.0, 'e_H_cap': 0.5}",-1.3157894706239404e-05,0.01348423957824707,"{'u1': np.float64(1055.41431839807), 'u2': np.float64(5.855428915128137), 'u3': np.float64(374.46328564414637), 'u4': np.float64(-17.00910657202273), 'u5': np.float64(-159.2371867007979), 'u6': np.float64(-36.112339984944434), 'u7': np.float64(250.9775786090909)}"
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 1.5750000000000002, 'e_E_cap': 2.0, 'e_H_cap': 1.0}",-1.3157894656501412e-05,0.012833833694458008,"{'u1': np.float64(1055.4143183980698), 'u2': np.float64(5.855428915128137), 'u3': np.float64(732.462976053695), 'u4': np.float64(-17.00910657202273), 'u5': np.float64(-159.2371867007979), 'u6': np.float64(-126.20757436552115), 'u7': np.float64(250.9775786090909)}"
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 1.5750000000000002, 'e_E_cap': 2.0, 'e_H_cap': 1.5}",-1.3157894679594051e-05,0.013395309448242188,"{'u1': np.float64(1055.4143183980698), 'u2': np.float64(5.855428915128137), 'u3': np.float64(732.462976053695), 'u4': np.float64(-17.00910657202273), 'u5': np.float64(-159.2371867007979), 'u6': np.float64(-126.20757436552115), 'u7': np.float64(250.9775786090909)}"
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 1.5750000000000002, 'e_E_cap': 2.0, 'e_H_cap': 2.0}",-1.3157894679594051e-05,0.014170646667480469,"{'u1': np.float64(1055.4143183980698), 'u2': np.float64(5.855428915128137), 'u3': np.float64(732.462976053695), 'u4': np.float64(-17.00910657202273), 'u5': np.float64(-159.2371867007979), 'u6': np.float64(-126.20757436552115), 'u7': np.float64(250.9775786090909)}"
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 2.1, 'e_E_cap': 0.5, 'e_H_cap': 0.5}",-2.8326271113598978e-05,0.014872074127197266,"{'u1': np.float64(880.475328609223), 'u2': np.float64(67.58790984286273), 'u3': np.float64(402.4009728232063), 'u4': np.float64(-11.673871006897443), 'u5': np.float64(-212.28382588031917), 'u6': np.float64(-25.307713956043596), 'u7': np.float64(237.639648567528)}"
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 2.1, 'e_E_cap': 0.5, 'e_H_cap': 1.0}",-2.8884175748089547e-05,0.015447854995727539,"{'u1': np.float64(907.1635419272598), 'u2': np.float64(50.76524543211623), 'u3': np.float64(785.5861402779223), 'u4': np.float64(-12.665563449784504), 'u5': np.float64(-212.30563127925535), 'u6': np.float64(-126.20757436552115), 'u7': np.float64(237.63964856752798)}"
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 2.1, 'e_E_cap': 0.5, 'e_H_cap': 1.5}",-2.8884175748089547e-05,0.012949705123901367,"{'u1': np.float64(907.1635419272598), 'u2': np.float64(50.76524543211623), 'u3': np.float64(785.5861402779223), 'u4': np.float64(-12.665563449784504), 'u5': np.float64(-212.30563127925535), 'u6': np.float64(-126.20757436552115), 'u7': np.float64(237.63964856752798)}"
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 2.1, 'e_E_cap': 0.5, 'e_H_cap': 2.0}",-2.8884175748089547e-05,0.015121221542358398,"{'u1': np.float64(907.1635419272598), 'u2': np.float64(50.76524543211623), 'u3': np.float64(785.5861402779223), 'u4': np.float64(-12.665563449784504), 'u5': np.float64(-212.30563127925535), 'u6': np.float64(-126.20757436552115), 'u7': np.float64(237.63964856752798)}"
