method,violation,time,u1,u2,u3,u4,u5,u6,total_cost,total_profit
ip,2.7408471866644746,0.7344553470611572,-1072.671390705718,-223.22657996433202,-657.0319234077645,-22.181090249462613,-67.34000000000003,-67.36094946046978,-2109.811933787747,2109.811933787747
lp,2.7408471866644746,0.08877778053283691,-1072.6713907057185,-223.22657996433202,-657.0319234077643,-22.181090249462443,-67.33999999999992,-67.36094946046978,-2109.811933787747,2109.811933787747
pca,162.11186676551472,0.7344553470611572,-906.3188927859145,-319.72914855474914,-883.76310158763,-0.0,-0.0,-0.0,-2109.8111429282935,2109.8111429282935
chp,-0.0,27.62148404121399,-1099.7825915103579,-216.8828764454139,-650.5697001852028,-7.875816186324414,-67.33999999999918,-67.36094946044864,-2109.811933787747,2109.811933787747
rowgen,-0.0,4.960373401641846,-1114.6134677979169,-281.03882406666617,-714.158851063257,-5.3290705182007514e-14,-8.171241461241152e-14,0.0,-2109.81114292784,2109.81114292784
