n_players,method,time_s,time_measure_s,eps,eps_bound,v_mip,v_chp,gap,converged,n_coalitions
6,owen,26.52,,,0.8407253546088972,-3034.899944914067,-3039.9442970417203,-5.044352127653383,True,
6,rowgen,4.32,,0.0,,,,,True,14
15,owen,119.93,,,0.5759780317766248,-6490.368722428449,-6499.008392905098,-8.639670476649371,True,
15,rowgen,3600.32,,7.579122514774402e-14,,,,,False,296
30,owen,130.31,,,0.18737107884820337,-8967.62409552435,-8973.245227889796,-5.621132365446101,True,
30,rowgen,3955.03,,1.5158245029548804e-14,,,,,False,160
