Season,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
Fall,0.0,0.0,0.0,0.0,0.0,0.0056813186813186815,1.281076923076923,23.396263736263737,85.41735164835166,148.4571978021978,192.8210989010989,219.38327472527473,220.42627472527474,204.1284065934066,174.2171868131868,128.41512087912088,67.84612087912089,18.167395604395605,1.5639560439560438,0.00932967032967033,0.0033406593406593407,0.0064725274725274725,0.006472527472527473,0.0007692307692307693
Winter,0.0,0.0022222222222222222,0.0,3.3333333333333335e-05,5.555555555555556e-05,0.0,0.0031999999999999997,1.4746222222222223,23.766077777777777,68.39601111111111,112.35974444444444,140.95311111111113,153.08831111111112,142.50271111111113,118.72177777777777,84.86707777777778,42.072522222222226,8.6466,0.21487777777777775,0.030344444444444445,0.0074444444444444445,0.000788888888888889,0.0005888888888888889,0.0
Spring,0.0011956521739130434,0.003021739130434783,0.0011956521739130434,0.0011956521739130434,0.0019239130434782607,0.15039130434782608,6.270152173913044,35.17289130434783,88.01127173913044,136.95196739130435,173.58163043478262,195.44015217391302,196.53307608695653,189.0380108695652,173.4829891304348,145.53631521739132,100.15493478260869,46.70691304347826,10.374282608695651,0.4284021739130434,0.10806521739130436,0.07847826086956522,0.023239130434782606,0.007152173913043479
Summer,0.0,0.0001956521739130435,1.0869565217391305e-05,0.0018260869565217392,0.0,0.3536086956521739,9.692,40.169760869565216,84.17842391304347,128.38167391304347,161.97021739130435,179.4171195652174,185.76084782608694,180.13557608695655,162.51875,137.6520543478261,101.35285869565217,57.899271739130434,19.126380434782607,1.847967391304348,0.027119565217391305,0.018456521739130434,0.00808695652173913,0.0
