method,violation,time
ip,-0.0,0.19653081893920898
lp,-0.0,0.08310699462890625
pca,244.61677755097912,0.19653081893920898
chp,-0.0,13.662569046020508
rowgen,1.2024122929971126e-10,1.8699190616607666
