scenario,run_id,use_korean_price,use_tou_elec,import_factor,month,hp_cap,els_cap,num_households,nu_cop,c_su_G,c_su_H,base_h2_price_eur,e_E_cap_ratio,e_H_cap_ratio,e_G_cap_ratio,eff_type,segments,peak_penalty_ratio,wind_el_ratio,solar_el_ratio,storage_power_ratio_E,storage_power_ratio_G,storage_power_ratio_H,storage_capacity_ratio_E,storage_capacity_ratio_G,storage_capacity_ratio_H,initial_soc_ratio_E,initial_soc_ratio_G,initial_soc_ratio_H,day,solve_time_rowgen,violation_rowgen,blocking_coalition_rowgen,isimp_rowgen,profit_rowgen_u1,profit_rowgen_u2,profit_rowgen_u3,profit_rowgen_u4,profit_rowgen_u5,profit_rowgen_u6,profit_rowgen_u7,profit_rowgen_u8,profit_rowgen_u9,profit_rowgen_u10,profit_rowgen_u11,profit_rowgen_u12,profit_rowgen_u13,profit_rowgen_u14,profit_rowgen_u15
15player_baseline,0,True,False,1.5,1,0.8,1,700,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,3.0,3.0,0.2,0.2,0.2,1,2760.4400885105133,3.928992070725758e-08,,True,1466.4521605063774,70.904298501759,517.7441062432922,77.70124595593687,84.3229066667709,141.41517356827399,360.3225871788737,77.18088437269887,517.7441062419439,810.4359694968168,38.77041165468654,97.29425340876105,94.05479023779623,307.4856061523724,231.3005245799793
15player_baseline,1,True,False,1.5,1,0.8,1,700,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,3.0,3.0,0.2,0.2,0.2,2,1631.11448097229,3.169848404083057e-07,,True,1368.320276346212,66.69661163694582,444.6361120082408,77.3484911688978,92.04404703344221,214.3955457206893,360.40119946775,73.18483196612897,448.396566868254,757.344970158846,39.1332819738717,96.94596199408602,98.03626387751365,316.32712098250306,291.3796450800516
