time,electricity,heat,hydro
0,81.99,45.99771428571428,0.0
1,78.61,45.99771428571428,0.0
2,78.61,45.99771428571428,0.0
3,78.61,45.99771428571428,0.0
4,78.61,45.99771428571428,0.0
5,78.61,45.99771428571428,0.0
6,79.74,68.99657142857143,0.0
7,79.74,68.99657142857143,0.0
8,77.32,68.99657142857143,0.0
9,76.0,68.99657142857143,3.648031148314795
10,86.22469010491754,45.99771428571428,5.0
11,86.22469010491754,45.99771428571428,5.0
12,69.60781187545531,45.99771428571428,4.286167361490957
13,57.19280791470961,45.99771428571428,3.3333333333333335
14,71.2,45.99771428571428,3.832301778493457
15,71.32999999999998,45.99771428571428,3.8392076665721664
16,65.08666666666667,45.99771428571428,3.507547964740789
17,65.08666666666667,68.99657142857143,3.507547964740789
18,80.35390946502059,68.99657142857143,4.318577734247888
19,69.35274405565026,68.99657142857143,3.3333333333333335
20,80.35390946502059,68.99657142857143,3.854156172947514
21,65.08666666666667,68.99657142857143,0.0
22,65.08666666666667,68.99657142857143,0.0
23,65.08666666666667,45.99771428571428,0.0
