time,electricity,heat,hydro
0,81.99,45.99771428571428,0.0
1,78.61,45.99771428571428,0.0
2,78.61,45.99771428571428,0.0
3,78.61,45.99771428571428,0.0
4,78.61,45.99771428571428,0.0
5,78.61,45.99771428571428,0.0
6,79.74,68.99657142857143,0.0
7,69.35274405565018,68.99657142857143,0.0
8,69.35274405565018,68.99657142857143,0.0
9,76.0,68.99657142857143,3.6480311483148
10,71.2,45.99771428571428,4.383064177880153
11,71.2,45.99771428571428,4.594737640375637
12,49.37117621980495,45.99771428571428,3.3333333333333335
13,49.37117621980495,45.99771428571428,3.3333333333333335
14,71.2,45.99771428571428,3.8323017784934574
15,71.32999999999998,45.99771428571428,3.839207666572167
16,81.98999999999998,45.99771428571428,4.405490489026384
17,81.98999999999998,45.99771428571428,4.405490489026384
18,81.98999999999998,45.99771428571428,4.405490489026384
19,81.98999999999998,68.99657142857143,3.9316128138201356
20,69.35274405565018,68.99657142857143,3.3333333333333335
21,66.41189999999999,68.99657142857143,0.0
22,66.41189999999999,68.99657142857143,0.0
23,66.41189999999999,45.99771428571428,0.0
