,scenario,run_id,use_korean_price,use_tou_elec,import_factor,month,hp_cap,els_cap,num_households,nu_cop,c_su_G,c_su_H,base_h2_price_eur,e_E_cap_ratio,e_H_cap_ratio,e_G_cap_ratio,eff_type,segments,peak_penalty_ratio,wind_el_ratio,solar_el_ratio,storage_power_ratio_E,storage_power_ratio_G,storage_power_ratio_H,storage_capacity_ratio_E,storage_capacity_ratio_G,storage_capacity_ratio_H,initial_soc_ratio_E,initial_soc_ratio_G,initial_soc_ratio_H,day,solve_time_ip,profit_ip_u1,profit_ip_u2,profit_ip_u3,profit_ip_u4,profit_ip_u5,profit_ip_u6,violation_ip,blocking_coalition_ip,solve_time_chp,profit_chp_u1,profit_chp_u2,profit_chp_u3,profit_chp_u4,profit_chp_u5,profit_chp_u6,violation_chp,blocking_coalition_chp,chp_price_electricity_0,chp_price_electricity_1,chp_price_electricity_2,chp_price_electricity_3,chp_price_electricity_4,chp_price_electricity_5,chp_price_electricity_6,chp_price_electricity_7,chp_price_electricity_8,chp_price_electricity_9,chp_price_electricity_10,chp_price_electricity_11,chp_price_electricity_12,chp_price_electricity_13,chp_price_electricity_14,chp_price_electricity_15,chp_price_electricity_16,chp_price_electricity_17,chp_price_electricity_18,chp_price_electricity_19,chp_price_electricity_20,chp_price_electricity_21,chp_price_electricity_22,chp_price_electricity_23,chp_price_heat_0,chp_price_heat_1,chp_price_heat_2,chp_price_heat_3,chp_price_heat_4,chp_price_heat_5,chp_price_heat_6,chp_price_heat_7,chp_price_heat_8,chp_price_heat_9,chp_price_heat_10,chp_price_heat_11,chp_price_heat_12,chp_price_heat_13,chp_price_heat_14,chp_price_heat_15,chp_price_heat_16,chp_price_heat_17,chp_price_heat_18,chp_price_heat_19,chp_price_heat_20,chp_price_heat_21,chp_price_heat_22,chp_price_heat_23,chp_price_hydrogen_0,chp_price_hydrogen_1,chp_price_hydrogen_2,chp_price_hydrogen_3,chp_price_hydrogen_4,chp_price_hydrogen_5,chp_price_hydrogen_6,chp_price_hydrogen_7,chp_price_hydrogen_8,chp_price_hydrogen_9,chp_price_hydrogen_10,chp_price_hydrogen_11,chp_price_hydrogen_12,chp_price_hydrogen_13,chp_price_hydrogen_14,chp_price_hydrogen_15,chp_price_hydrogen_16,chp_price_hydrogen_17,chp_price_hydrogen_18,chp_price_hydrogen_19,chp_price_hydrogen_20,chp_price_hydrogen_21,chp_price_hydrogen_22,chp_price_hydrogen_23,isimp_ip,isimp_chp
10,low_h2_margin,10,True,False,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,11,0.777580023,1656.460798,86.01323689,331.3865845,0,0,0,2.124732106,"['u1', 'u2']",36.110111,1670.005203,84.04591465,319.8095017,0,0,0,inf,[],54.66,52.40666667,52.40666667,52.40666667,52.40666667,52.40666667,53.16,95.32651802,95.32651802,117.6870593,117.6870593,117.6870593,0.05,13.7,142.4,142.66,169.84,193.56,193.56,194.0,194.04,195.26,195.26,194.16,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,38.570201,38.570201,22.99885714,22.99885714,46.10463415,46.18390244,54.4704878,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,61.88512195,2,2.0,2.0,2.0,2.0,2.0,2,2.0,2,6.0,6.0,6,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,2.0,False,True
11,low_h2_margin,11,True,False,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,12,0.197936773,1822.998824,95.98018538,365.9496209,0,0,0,-5.12e-13,,111.2592006,1826.732451,95.98018538,362.2159932,0,0,0,-7.53e-13,,163.98,157.22,157.22,157.22,157.22,157.22,157.22,159.48,154.64,152.0,142.4,117.6870593,0.05,13.7,112.0058697,112.0058697,112.0058697,112.0058697,112.0058697,112.0058697,112.0058697,90.72475442,65.08666667,64.72,52.68390244,50.62292683,50.62292683,50.62292683,50.62292683,50.62292683,68.99657143,68.99657143,68.99657143,68.99657143,46.10463415,38.570201,22.99885714,22.99885714,36.83813099,36.83813099,36.83813099,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,22.99885714,6,2.0,6.0,2.0,2.0,2.0,2,2.0,2,6.0,6.0,6,2,2,6.0,6.0,6.0,6.0,6.0,5.712771494,5.712771494,2.0,2.0,3.763321738,False,False
12,low_h2_margin,12,True,False,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,13,0.198538303,2214.027837,92.77936861,369.0107131,0,0,0,0.0,,65.3097198,2177.659949,106.3528065,391.8051635,0,0,0,-8.15e-13,,54.66,52.40666667,52.40666667,52.40666667,52.40666667,52.40666667,53.16,53.16,51.54666667,83.95149373,103.6438194,103.6438194,0.05,13.7,112.0058697,112.0058697,117.6870593,117.6870593,117.6870593,194.0,194.04,194.16,195.26,194.16,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,34.28872543,34.28872543,22.99885714,22.99885714,36.83813099,36.83813099,38.570201,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,61.88512195,2,3.073104943,2.0,2.0,2.0,2.0,2,2.0,2,4.294403682,6.0,6,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,False,False
13,low_h2_margin,13,True,False,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,14,0.643666744,1945.172862,85.11300376,412.5978125,0,0,0,inf,[],62.67773485,1926.390388,96.23521897,420.2580711,0,0,0,0.0,,80.35390947,80.35390947,80.35390947,66.61305143,66.61305143,66.61305143,65.08666667,159.48,154.64,152.0,142.4,142.4,0.05,13.7,119.4835656,119.4835656,119.4835656,119.4835656,119.4835656,112.0058697,65.08666667,65.08666667,65.08666667,64.72,27.18814313,27.18814313,27.18814313,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,46.10463415,46.10463415,22.99885714,22.99885714,39.11791635,39.11791635,39.11791635,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,22.99885714,2,2.0,2.0,2.0,2.0,2.0,2,6.0,2,6.0,6.0,6,2,2,6.0,6.0,6.0,6.0,6.0,6.0,3.507547965,2.0,2.0,2.0,True,False
14,low_h2_margin,14,True,False,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,15,0.137974024,2181.491413,234.5715702,545.2816451,0,0,0,-5.19e-13,,50.23574853,2181.491413,234.5715702,545.2816451,0,0,0,-6.39e-14,,54.66,52.40666667,52.40666667,52.40666667,52.40666667,52.40666667,53.16,83.95149373,83.95149373,103.6438194,103.6438194,103.6438194,0.05,13.7,52.7202,65.08666667,65.08666667,65.08666667,65.08666667,64.66666667,64.68,65.08666667,65.08666667,64.72,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,34.28872543,34.28872543,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,22.99885714,2,2.0,2.951205051,2.0,2.0,2.0,2,2.0,2,5.290004545,6.0,6,2,2,2.850613851,3.507547965,3.507547965,3.507547965,3.507547965,3.319405056,3.32007916,2.0,3.457198473,2.0,False,False
15,low_h2_margin,15,True,False,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,16,0.189953089,2155.706548,102.9613917,386.9759005,0,0,0,-2.91e-13,,81.91437769,2152.493163,106.6081833,386.5424941,0,0,0,-4.41e-13,,54.66,52.40666667,52.40666667,52.40666667,52.40666667,52.40666667,53.16,83.95149373,51.54666667,83.95149373,103.6438194,103.6438194,0.05,13.7,112.0058697,112.0058697,117.6870593,117.6870593,117.6870593,194.0,194.04,194.16,195.26,194.16,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,34.28872543,34.28872543,22.99885714,22.99885714,36.83813099,36.83813099,38.570201,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,61.88512195,2,2.0,2.0,2.0,2.0,2.0,6,2.0,2,4.294403682,6.0,6,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,False,False
16,low_h2_margin,16,True,False,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,17,0.441440344,1818.22424,73.38158288,343.2919941,0,0,0,inf,[],100.9850438,1799.186555,84.02685686,351.6844055,0,0,0,inf,[],163.98,157.22,157.22,157.22,157.22,157.22,127.3482,154.64,154.64,152.0,142.4,142.4,0.05,13.7,122.0087843,122.0087843,112.0058697,114.7247988,119.0465238,122.0087843,112.0058697,65.08666667,65.08666667,98.82711532,52.68390244,50.62292683,50.62292683,50.62292683,50.62292683,50.62292683,68.99657143,68.99657143,68.99657143,68.99657143,46.10463415,46.10463415,22.99885714,22.99885714,39.88780011,39.88780011,36.83813099,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,32.82021809,2,6.0,2.0,2.0,2.0,2.0,2,2.0,2,6.0,6.0,6,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,True,True
17,low_h2_margin,17,True,False,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,18,0.341072083,2033.927495,76.29066498,341.0578405,0,0,0,inf,[],51.34749198,2037.917616,83.92654093,329.4318434,0,0,0,inf,[],54.66,52.40666667,52.40666667,52.40666667,52.40666667,52.40666667,53.16,117.6870593,145.2926658,145.2926658,117.6870593,117.6870593,0.05,13.7,117.6870593,117.6870593,117.6870593,117.6870593,193.56,194.0,194.04,194.16,195.26,194.16,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,38.570201,38.570201,22.99885714,22.99885714,38.570201,38.570201,38.570201,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,61.88512195,2,2.0,2.0,2.0,2.0,2.0,2,6.0,2,6.0,6.0,6,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,2.0,True,True
18,low_h2_margin,18,True,False,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,19,0.429724455,2121.523832,102.5055359,405.2260778,0,0,0,-5.58e-12,,49.08068776,2104.465036,112.0272793,412.7631307,0,0,0,-7.67e-13,,157.22,157.22,157.22,157.22,157.22,66.61305143,53.16,79.19301121,51.54666667,79.19301121,97.76914964,97.76914964,0.05,13.7,112.0058697,117.6870593,117.6870593,117.6870593,117.6870593,117.6870593,117.6870593,95.32651802,95.32651802,95.32651802,50.62292683,50.62292683,50.62292683,50.62292683,50.62292683,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,32.49766757,32.49766757,22.99885714,22.99885714,36.83813099,38.570201,38.570201,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,31.75296281,6,2.0,2.0,2.0,2.0,2.0,2,2.0,2,4.053825226,6.0,6,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,False,False
19,low_h2_margin,19,True,False,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,20,0.16621995,2201.912365,115.1010521,455.9478138,0,0,0,0.0,,73.09727669,2190.05388,120.659853,462.2474978,0,0,0,0.0,,54.66,52.40666667,52.40666667,52.40666667,52.40666667,52.40666667,53.16,95.32651802,95.32651802,117.6870593,117.6870593,117.6870593,0.05,13.7,112.0058697,90.72475442,90.72475442,90.72475442,112.0058697,112.0058697,112.0058697,90.72475442,112.0058697,112.0058697,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,38.570201,38.570201,22.99885714,22.99885714,36.83813099,30.3499861,30.3499861,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,36.83813099,2,2.0,2.0,2.0,3.219226841,2.0,6,2.0,2,6.0,6.0,6,2,2,6.0,4.8695,4.8695,4.8695,6.0,5.712771494,5.712771494,2.0,2.0,2.0,False,False
