n_players,method,time_s,time_measure_s,eps,eps_bound,v_mip,v_chp,gap,converged,n_coalitions
6,owen,25.25,,,0.09545456138842685,-2347.365728829481,-2347.938456197812,-0.5727273683305611,True,
6,rowgen,2.25,,-3.759955310063864e-14,,,,,True,14
15,owen,46.85,,,0.030779322740757682,-4884.986502130973,-4885.448191972085,-0.46168984111136524,True,
15,rowgen,359.4,,6.063298011819522e-14,,,,,True,130
30,owen,98.97,,,0.0197433577708883,-6268.473936940149,-6269.066237673275,-0.592300733126649,True,
30,rowgen,5476.13,,-5.779080917515481e-14,,,,,False,160
