run,day,n_players,num_households,base_h2_price_eur,import_factor,pi_res,pi_peak,v_mip,v_chp,gap,eps_bound,time_mip_s,time_cg_s,r_sym,reserve_revenue,product,n_blocks,block_hours,r_sym_mwh,r_up_mwh,r_dn_mwh,pool_standalone_mwh,pool_gain_mwh,pool_blocks_with_gain,mech_no_pooling_mwh,mech_full_mwh,mech_gain_time_mwh,mech_gain_direction_mwh,pool_standalone_sum,pool_gain_abs,pool_gain_ratio,mech_no_pooling,mech_time_only,mech_full,mech_gain_time,mech_gain_direction,mech_share_direction,n_binding_up,n_binding_dn,settlement_imbalance,stab_method,stab_excess_sigma,stab_holds_sigma,stab_excess_owen,stab_holds_owen,stab_eps_lr,stab_worst_S_size,stab_time_s,stab_certified,peak_value,peak_cost,sum_individual_peaks,coincidence_factor,peak_netting_saving,schema_checks
baseline_60p,1,60,700,3.3333333333333335,1.5,56.0,150.0,-25045.080134193144,-25051.668151012946,-6.588016819801851,0.10980028033003085,257.2,170.91,,9599.395809488602,symmetric,6,4,171.41778231229645,,,138.53535781493287,32.88242449736357,5,91.95357128393564,171.41778183945183,15.267222132527037,64.19698842298915,,,1.2373576321309299,,,,,,,23,19,2.615307791345913,dinkelbach,-0.0,True,0.08994927679123066,True,0.10980028033003085,26,1366.45,True,9.6898317630473,1453.474764457095,15.63776003840962,0.6196432058841573,5.947928275362321,ok
baseline_60p,2,60,700,3.3333333333333335,1.5,56.0,150.0,-24384.568050665293,-24390.472722198323,-5.904671533029614,0.09841119221716023,265.02,134.43,,8429.919492489875,symmetric,6,4,150.5342766516049,,,137.56149587375586,12.972780777849035,3,73.1999717318576,150.53427665160484,18.910238047083006,58.42406687266422,,,1.0943053191988732,,,,,,,23,20,0.007638794715603581,dinkelbach,-0.0,True,0.03638676255071565,True,0.09841119221716023,56,679.05,True,8.565960238720926,1284.8940358081388,15.464027771093248,0.553928146374206,6.8980675323723215,ok
baseline_60p,3,60,700,3.3333333333333335,1.5,56.0,150.0,-23131.307392211827,-23137.949148920834,-6.641756709006586,0.11069594515010976,16.1,194.49,,9344.827919777,symmetric,6,4,166.871927138875,,,138.06415066204596,28.80777647682903,4,92.64051411825372,166.8719268965583,16.033511891533518,58.19790088677104,,,1.2086550081153569,,,,,,,23,21,0.5856433346070844,dinkelbach,0.00013231039548270427,True,0.10929658339932757,True,0.11069594515010976,32,3616.02,False,9.93232416645133,1489.8486249676996,15.5967374276788,0.6368206307573595,5.66441326122747,ok
baseline_60p,4,60,700,3.3333333333333335,1.5,56.0,150.0,-25223.04030998604,-25229.688194921397,-6.6478849353552505,0.11079808225592085,147.94,147.43,,8860.37658085264,symmetric,6,4,158.22101037236857,,,139.27486744192544,18.946142930443113,3,79.48876299248913,158.2210103723685,16.82142462017092,61.910822759708466,,,1.136034183901437,,,,,,,24,19,3.453415784822937,dinkelbach,-0.0,True,0.10034984101201355,True,0.11079808225592085,33,1150.76,True,8.136247895563749,1220.4371843345623,15.459676394593966,0.5262883703315343,7.323428499030218,ok
baseline_60p,5,60,700,3.3333333333333335,1.5,56.0,150.0,-24734.17012643419,-24740.857870697855,-6.687744263665081,0.11146240439441803,87.64,163.19,,9296.468528593443,symmetric,6,4,166.00836658202576,,,138.72433026605736,27.284036315968393,5,93.81960660911926,166.00836658202564,12.081397286493836,60.10736268641256,,,1.1966780900195426,,,,,,,24,20,2.2064021750611573,dinkelbach,-0.0,True,0.0925758865161627,True,0.11146240439441803,26,353.68,True,9.144153556937857,1371.6230335406785,15.556952500302224,0.5877856576832907,6.412798943364367,ok
baseline_60p,6,60,700,3.3333333333333335,1.5,56.0,150.0,-26582.695615668817,-26594.332507614447,-11.636891945629031,0.1939481990938172,266.74,152.41,,9130.608710862254,symmetric,6,4,163.04658412254025,,,139.24751666195996,23.7990674605803,5,101.40204134449348,163.0465841225399,12.77092741152564,48.87361536652078,,,1.1709119705046904,,,,,,,23,19,0.14294613942001888,dinkelbach,1.687803555218836e-05,True,0.14536704768954334,True,0.1939481990938172,33,3653.19,False,8.126062689447618,1218.9094034171428,15.482144831020847,0.5248667273261653,7.3560821415732285,ok
baseline_60p,7,60,700,3.3333333333333335,1.5,56.0,150.0,-25497.08128103742,-25504.36724142931,-7.285960391891422,0.12143267319819036,348.8,155.04,,8877.725967867724,symmetric,6,4,158.53082085478079,,,137.9593692750284,20.571451579752377,4,85.55812228823487,158.53082085478067,12.717355140404527,60.25534342614128,,,1.1491123922054345,,,,,,,23,17,0.9052986978622357,dinkelbach,-0.0,True,0.06712362710239622,True,0.12143267319819036,53,3650.65,False,8.549547250209333,1282.4320875314,15.520588692405742,0.550851995349419,6.971041442196409,ok
baseline_60p,8,60,700,3.3333333333333335,1.5,56.0,150.0,-26123.240519193423,-26130.218917925253,-6.978398731829657,0.11630664553049427,1000.89,168.49,,9217.62624304308,symmetric,6,4,164.60046862576928,,,138.38040928679388,26.220059338975414,5,92.91428582932508,164.60046862576925,12.332997396353523,59.35318540009064,,,1.1894781166937745,,,,,,,23,18,1.3654678765069548,dinkelbach,4.7732955625780246e-05,True,0.09860184943172498,True,0.11630664553049427,35,744.13,True,8.952670644631072,1342.9005966946606,14.987742769333584,0.5973328193855267,6.035072124702513,ok
baseline_60p,9,60,700,3.3333333333333335,1.5,56.0,150.0,-26840.564873016556,-26850.543637878327,-9.978764861771197,0.16631274769618662,423.15,183.39,,9246.497476983386,symmetric,6,4,165.11602637470332,,,139.30333065801167,25.81269571669165,5,100.33347420702931,165.11602637470327,11.746980468141274,53.03557169953268,,,1.1852984820589938,,,,,,,22,16,1.2596161709170701,dinkelbach,-0.0,True,0.10396391502866295,True,0.16631274769618662,42,253.29,True,8.105187940577348,1215.7781910866022,15.5173870776707,0.5223294295623133,7.412199137093351,ok
baseline_60p,10,60,700,3.3333333333333335,1.5,56.0,150.0,-23523.863657225294,-23529.16199107281,-5.298333847516915,0.08830556412528191,13.41,179.0,,9774.787094864485,symmetric,6,4,174.5497695511515,,,138.11333631338744,36.436433237764064,5,94.5850936669454,174.54976955115137,13.684649573399733,66.28002631080624,,,1.2638154591754096,,,,,,,24,21,1.7374092771005962,dinkelbach,-0.0,True,0.0878566434756419,True,0.08830556412528191,31,3632.43,False,10.482668957715989,1572.4003436573983,15.524362306145594,0.675239906863436,5.041693348429606,ok
