run,day,n_players,c_N,sum_kappa,v_N,time_s
baseline_60p,1,60,-25045.080134193144,-15954.553904987286,9090.526229205858,1.6
baseline_60p,2,60,-24384.568050665293,-15507.028907789922,8877.539142875372,4.66
baseline_60p,3,60,-23131.307392211827,-14731.380831148996,8399.926561062832,3.04
baseline_60p,4,60,-25223.04030998604,-16083.825247464038,9139.215062522004,1.86
baseline_60p,5,60,-24734.17012643419,-15804.080615473262,8930.089510960928,2.0
baseline_60p,6,60,-26582.695615668817,-16793.776754361275,9788.918861307542,2.42
baseline_60p,7,60,-25497.08128103742,-16210.38136085646,9286.69992018096,2.15
baseline_60p,8,60,-26123.240519193423,-16595.734844324586,9527.505674868837,1.87
baseline_60p,9,60,-26840.564873016556,-16928.34328688784,9912.221586128715,1.98
baseline_60p,10,60,-23523.863657225294,-14856.746031187602,8667.117626037692,1.86
baseline_60p,11,60,-22721.171819481446,-14355.629981513062,8365.541837968383,2.4
baseline_60p,12,60,-22809.736879688222,-14539.55116345348,8270.185716234742,2.9
baseline_60p,13,60,-24698.278696369078,-15704.736824494228,8993.54187187485,2.63
baseline_60p,14,60,-23424.619586456367,-14917.526144009264,8507.093442447103,2.21
baseline_60p,15,60,-26182.847482744903,-16570.123199255162,9612.72428348974,1.83
baseline_60p,16,60,-24414.979314325952,-15587.829247083533,8827.150067242419,2.18
baseline_60p,17,60,-22608.405697635033,-14403.902555258144,8204.503142376889,1.89
baseline_60p,18,60,-23817.891240536715,-15160.392962182861,8657.498278353854,3.49
baseline_60p,19,60,-23731.357056159755,-15256.00088541072,8475.356170749035,2.36
baseline_60p,20,60,-24939.860015026643,-15911.891587085123,9027.96842794152,2.37
baseline_60p,21,60,-24108.97140933173,-15456.117581743452,8652.853827588278,1.78
baseline_60p,22,60,-25507.115375204354,-16242.1731341204,9264.942241083954,1.48
baseline_60p,23,60,-25109.756885335766,-15843.315848475595,9266.441036860171,1.88
baseline_60p,24,60,-22093.549075713992,-13998.80784641048,8094.741229303512,4.5
baseline_60p,25,60,-22859.198222895386,-14512.559195755208,8346.639027140178,2.7
baseline_60p,26,60,-23152.50619920773,-14737.46243763187,8415.043761575862,3.54
baseline_60p,27,60,-24483.997928204764,-15695.023995911917,8788.973932292847,1.86
baseline_60p,28,60,-19729.784247531246,-12278.253602919043,7451.530644612203,3.22
baseline_60p,29,60,-25501.275628185394,-16220.727100869462,9280.548527315932,1.7
baseline_60p,30,60,-26534.96292966164,-16812.31172964874,9722.6512000129,1.8
baseline_60p,31,60,-24749.882543517022,-15711.08739476326,9038.795148753761,3.09
