time,electricity,heat,hydro
0,80.35390946502059,45.99771428571428,0.0
1,78.61,45.99771428571428,0.0
2,78.61,45.99771428571428,0.0
3,78.61,45.99771428571428,0.0
4,78.61,45.99771428571428,0.0
5,78.61,45.99771428571428,0.0
6,65.08666666666667,68.99657142857143,0.0
7,79.74,68.99657142857143,0.0
8,77.32,68.99657142857143,0.0
9,76.0,68.99657142857143,3.6480311483147974
10,71.2,68.99657142857143,4.383064177880153
11,71.2,68.99657142857143,4.594737640375609
12,0.0,68.99657142857143,0.05
13,6.85,68.99657142857143,0.46687485419212166
14,71.2,68.99657142857143,3.8323017784934565
15,71.32999999999998,68.99657142857143,3.839207666572165
16,84.92,68.99657142857143,4.561138581877309
17,96.77999999999999,68.99657142857143,5.0
18,96.78,68.99657142857143,5.0
19,96.77999999999999,68.99657142857143,4.631808612288234
20,96.77999999999999,68.99657142857143,4.631808612288238
21,65.08666666666667,68.99657142857143,0.0
22,65.08666666666667,68.99657142857143,0.0
23,65.08666666666667,68.99657142857143,0.0
