time,electricity,heat,hydro
0,80.35390946502059,45.99771428571428,0.0
1,78.61,45.99771428571428,0.0
2,61.807160566243475,45.99771428571428,0.0
3,57.192807914709604,45.99771428571428,0.0
4,61.807160566243475,45.99771428571428,0.0
5,69.35274405565023,45.99771428571428,0.0
6,53.16,68.99657142857143,0.0
7,53.16,68.99657142857143,0.0
8,69.35274405565023,68.99657142857143,0.0
9,76.0,68.99657142857143,3.6480311483147974
10,71.2,45.99771428571428,4.383064177880136
11,71.2,45.99771428571428,4.5947376403756355
12,51.43824612811121,45.99771428571428,3.3333333333333335
13,51.43824612811121,45.99771428571428,3.3333333333333335
14,71.2,45.99771428571428,3.832301778493455
15,71.32999999999998,45.99771428571428,3.8392076665721637
16,84.92,45.99771428571428,4.561138581877304
17,96.78,68.99657142857143,5.0
18,96.78,68.99657142857143,5.0
19,96.99999999999999,68.99657142857143,4.642223965612307
20,97.02000000000001,68.99657142857143,4.6431708159144955
21,65.08666666666667,68.99657142857143,0.0
22,65.08666666666667,68.99657142857143,0.0
23,65.08666666666667,45.99771428571428,0.0
