run,day,n_players,converged,vstar_is_lower_bound,cost_of_stability_vstar,weak_eps,time_rowgen_s,n_coalitions
baseline_6p,1,6,True,False,-4.973799150320701e-14,-8.289665250534503e-15,5.89,14
baseline_6p,2,6,True,False,-1.6342482922482304e-13,-2.7237471537470508e-14,14.6,17
baseline_6p,3,6,True,False,-1.6342482922482304e-13,-2.7237471537470508e-14,7.29,17
baseline_6p,4,6,True,False,-4.973799150320701e-14,-8.289665250534503e-15,7.45,14
baseline_6p,5,6,True,False,1.1368683772161603e-13,1.8947806286936004e-14,6.17,14
baseline_6p,6,6,True,False,-4.973799150320701e-14,-8.289665250534503e-15,4.92,14
baseline_6p,7,6,True,False,-4.973799150320701e-14,-8.289665250534503e-15,9.59,14
baseline_6p,8,6,True,False,6.394884621840902e-14,1.0658141036401503e-14,5.76,14
baseline_6p,9,6,True,False,0.0,0.0,3.65,14
baseline_6p,10,6,True,False,-1.6342482922482304e-13,-2.7237471537470508e-14,5.62,17
baseline_6p,11,6,True,False,-4.973799150320701e-14,-8.289665250534503e-15,7.6,15
baseline_6p,12,6,True,False,-4.973799150320701e-14,-8.289665250534503e-15,4.94,15
baseline_6p,13,6,True,False,5.684341886080802e-14,9.473903143468002e-15,9.54,17
baseline_6p,14,6,True,False,-1.6342482922482304e-13,-2.7237471537470508e-14,7.62,18
baseline_6p,15,6,True,False,-1.6342482922482304e-13,-2.7237471537470508e-14,5.28,14
baseline_6p,16,6,True,False,1.1368683772161603e-13,1.8947806286936004e-14,8.78,14
baseline_6p,17,6,True,False,-4.973799150320701e-14,-8.289665250534503e-15,5.5,15
baseline_6p,18,6,True,False,-4.973799150320701e-14,-8.289665250534503e-15,10.3,15
baseline_6p,19,6,True,False,-1.6342482922482304e-13,-2.7237471537470508e-14,12.06,17
baseline_6p,20,6,True,False,1.1368683772161603e-13,1.8947806286936004e-14,6.31,14
baseline_6p,21,6,True,False,-4.973799150320701e-14,-8.289665250534503e-15,3.93,14
baseline_6p,22,6,True,False,-4.973799150320701e-14,-8.289665250534503e-15,4.0,14
baseline_6p,23,6,True,False,1.1368683772161603e-13,1.8947806286936004e-14,3.92,18
baseline_6p,24,6,True,False,-1.6342482922482304e-13,-2.7237471537470508e-14,13.38,17
baseline_6p,25,6,True,False,-4.973799150320701e-14,-8.289665250534503e-15,10.41,15
baseline_6p,26,6,True,False,-4.973799150320701e-14,-8.289665250534503e-15,7.21,15
baseline_6p,27,6,True,False,1.1368683772161603e-13,1.8947806286936004e-14,3.1,14
baseline_6p,28,6,True,False,-2.7711166694643907e-13,-4.618527782440651e-14,2.97,16
baseline_6p,29,6,True,False,-4.973799150320701e-14,-8.289665250534503e-15,4.85,14
baseline_6p,30,6,True,False,0.0,0.0,4.49,14
baseline_6p,31,6,True,False,0.0,0.0,10.01,14
