run,day,n_players,num_households,base_h2_price_eur,import_factor,pi_res,pi_peak,v_mip,v_chp,gap,eps_bound,time_mip_s,time_cg_s,r_sym,reserve_revenue,product,n_blocks,block_hours,r_sym_mwh,r_up_mwh,r_dn_mwh,pool_standalone_mwh,pool_gain_mwh,pool_blocks_with_gain,mech_no_pooling_mwh,mech_full_mwh,mech_gain_time_mwh,mech_gain_direction_mwh,pool_standalone_sum,pool_gain_abs,pool_gain_ratio,mech_no_pooling,mech_time_only,mech_full,mech_gain_time,mech_gain_direction,mech_share_direction,n_binding_up,n_binding_dn,settlement_imbalance,stab_method,stab_excess_sigma,stab_holds_sigma,stab_excess_owen,stab_holds_owen,stab_eps_lr,stab_worst_S_size,stab_time_s,peak_value,peak_cost,sum_individual_peaks,coincidence_factor,peak_netting_saving,schema_checks
baseline_6p,1,6,700,3.3333333333333335,1.5,56.0,150.0,-2717.0004768573976,-2726.5640277427556,-9.563550885357927,1.5939251475596545,1.4,26.28,,849.823160118446,symmetric,6,4,15.175413573543679,,,12.167850465829522,3.007563107714158,5,9.777688323490837,15.175413573543675,0.3226283211222463,5.075096928930593,,,1.2471729181879885,,,,,,,23,23,2.5600508728077784,dinkelbach,-0.0,True,-0.0,True,1.5939251475596545,0,3.61,0.5155879692565193,77.3381953884779,1.0438977430053604,0.49390658492291784,0.5283097737488411,ok
baseline_6p,2,6,700,3.3333333333333335,1.5,56.0,150.0,-2563.247874699199,-2585.249425952276,-22.00155125307674,3.6669252088461235,2.17,23.16,,835.2807600804995,symmetric,6,4,14.915727858580349,,,12.167850465829522,2.747877392750827,4,9.956139579361837,14.915727858580347,0.390403366138925,4.569184913079584,,,1.2258309633626399,,,,,,,24,18,5.698920568894664,dinkelbach,-0.0,True,-0.0,True,3.6669252088461235,0,3.3,0.7112947640906324,106.69421461359487,1.0919628660833909,0.6513909824075578,0.38066810199275847,ok
baseline_6p,3,6,700,3.3333333333333335,1.5,56.0,150.0,-2373.870360971229,-2385.8311944543525,-11.960833483123679,1.9934722471872799,0.49,31.77,,853.7384251590964,symmetric,6,4,15.24532902069815,,,12.167850465829522,3.0774785548686294,5,7.353648892204983,15.245329020698147,0.26461053694236414,7.6270695915508,,,1.252918834227211,,,,,,,24,22,0.003795250001871864,dinkelbach,-0.0,True,-0.0,True,1.9934722471872799,0,4.33,0.8468090090378858,127.02135135568287,1.0599314649474936,0.7989280788827555,0.21312245590960777,ok
baseline_6p,4,6,700,3.3333333333333335,1.5,56.0,150.0,-2725.3550934120217,-2729.2864810773017,-3.931387665279999,0.6552312775466665,1.32,30.29,,864.6012150002775,symmetric,6,4,15.439307410719241,,,12.167850465829522,3.2714569448897195,5,10.544661769647124,15.439307410719238,0.2802955934691056,4.614350047603008,,,1.2688607124221996,,,,,,,24,22,0.5849912645333006,dinkelbach,-0.0,True,-0.0,True,0.6552312775466665,0,3.17,0.44795264310532,67.192896465798,1.0872531256243556,0.4120040058271463,0.6393004825190356,ok
baseline_6p,5,6,700,3.3333333333333335,1.5,56.0,150.0,-2669.276032880513,-2674.6995062368687,-5.423473356355771,0.9039122260592952,1.19,26.43,,854.0205345580337,symmetric,6,4,15.250366688536316,,,12.167850465829522,3.0825162227067935,5,9.972198472234238,15.250366688536314,0.32094283541939206,4.957225380882683,,,1.2533328488349933,,,,,,,23,24,1.134760765608462,dinkelbach,-0.0,True,-0.0,True,0.9039122260592952,0,2.41,0.4783754848722198,71.75632273083298,1.0424660011258169,0.4588883324305978,0.5640905162535971,ok
baseline_6p,6,6,700,3.3333333333333335,1.5,56.0,150.0,-2971.962638923439,-2981.450254554761,-9.487615631322114,1.5812692718870192,0.92,22.39,,842.4405827478363,symmetric,6,4,15.043581834782792,,,12.167850465829522,2.87573136895327,5,10.083993555564273,15.04358183478279,0.390403366138924,4.5691849130795905,,,1.23633848698495,,,,,,,24,22,0.2360330993540174,dinkelbach,-0.0,True,-0.0,True,1.5812692718870192,0,2.06,0.23098849993741408,34.64827499061211,1.0104586925664627,0.22859766721460598,0.7794701926290486,ok
baseline_6p,7,6,700,3.3333333333333335,1.5,56.0,150.0,-2776.6106053663807,-2799.0544105217937,-22.443805155412974,3.740634192568829,2.07,20.66,,828.524989274755,symmetric,6,4,14.795089094192052,,,12.167850465829522,2.62723862836253,4,9.835500814973532,14.79508909419205,0.38397188531097315,4.575616393907545,,,1.2159164131528817,,,,,,,24,21,1.5253236172877678,dinkelbach,-0.0,True,-0.0,True,3.740634192568829,0,3.69,0.45310937104327403,67.9664056564911,0.821061878450521,0.5518577624117271,0.367952507407247,ok
baseline_6p,8,6,700,3.3333333333333335,1.5,56.0,150.0,-2897.206579397687,-2914.411011019079,-17.204431621391905,2.867405270231984,1.61,23.79,,852.4374634146342,symmetric,6,4,15.22209756097561,,,12.167850465829522,3.054247095146088,5,10.262509281756975,15.222097560975492,0.3904033661389251,4.569184913079592,,,1.2510095849487308,,,,,,,24,22,3.5605483407317706,dinkelbach,-0.0,True,-0.0,True,2.867405270231984,0,2.39,0.5052486852483996,75.78730278725995,0.9821538689659997,0.514429257179753,0.47690518371760005,ok
baseline_6p,9,6,700,3.3333333333333335,1.5,56.0,150.0,-3034.899944914067,-3039.9442970417203,-5.044352127653383,0.8407253546088972,0.91,24.2,,863.0250325247159,symmetric,6,4,15.411161295084213,,,12.167850465829522,3.243310829254691,5,10.451573015865689,15.41116129508421,0.3423536626682092,4.617234616550309,,,1.2665475581215226,,,,,,,24,19,0.9578017600709927,dinkelbach,-0.0,True,-0.0,True,0.8407253546088972,0,3.45,0.19805138534181405,29.707707801272107,0.7295960743143683,0.27145346900054407,0.5315446889725544,ok
baseline_6p,10,6,700,3.3333333333333335,1.5,56.0,150.0,-2389.516790668878,-2392.735575645186,-3.218784976308143,0.5364641627180239,0.63,29.24,,869.8712195121952,symmetric,6,4,15.533414634146343,,,12.167850465829522,3.3655641683168214,5,11.386387291198147,15.53341463414634,0.2135109546672176,3.933516388280975,,,1.2765948001882663,,,,,,,24,23,1.5916157281026244e-12,dinkelbach,-0.0,True,-0.0,True,0.5364641627180239,0,2.68,1.0090254434661503,151.35381651992253,1.0599314649474936,0.9519723461706413,0.05090602148134327,ok
