run,day,n_players,mode,converged,c_N,time_s,n_coalitions,range_core,var_core,range_owen,var_owen,range_ratio,var_ratio,max_abs_diff,owen_in_core,owen_worst_excess
baseline_6p,1,6,range,True,-2717.0004768573976,5.79,14,1436.0916100576032,1578087.3492050024,1824.1856668155988,2293902.4400184606,1.2702432449573524,1.4535966219956495,301.87370878881416,True,-5.539495312752479
baseline_6p,2,6,range,True,-2563.247874699199,9.66,14,1344.750099643048,1328949.8914623992,1652.3708422230939,1865719.3734839875,1.2287568096568284,1.4039049820237526,245.54611966842026,True,-14.389876480855719
baseline_6p,3,6,range,True,-2373.870360971229,7.61,15,1202.0412272377039,994097.2469405765,1527.0638343490555,1548752.4433743486,1.2703922292734127,1.5579486294130411,265.2449394253328,True,-8.48750094244862
baseline_6p,4,6,range,True,-2725.3550934120217,4.46,13,1504.5840452976163,1754772.8406625025,1812.018515399604,2267844.009158903,1.204331869039044,1.2923860893029857,295.9416678636369,True,-8.267260157294459
baseline_6p,5,6,range,True,-2669.276032880513,4.17,13,1426.340178483453,1568194.9047492705,1773.944325366865,2160832.863779738,1.2437035372957101,1.3779109071427706,274.774435143705,True,-4.781394480214658
baseline_6p,6,6,range,True,-2971.962638923439,3.64,14,1506.8248267722647,1713748.7602469174,2034.0570545229882,2913197.2614802555,1.3498961646922794,1.6998975165184198,412.5061656032601,True,-11.30447423747546
baseline_6p,7,6,range,True,-2776.6106053663807,5.92,14,1457.6163254098465,1622173.1474474454,1874.28030421527,2429913.680077666,1.2858529858248313,1.4979373095290307,323.0201180574147,True,-20.903799876765788
baseline_6p,8,6,range,True,-2897.206579397687,4.48,14,1501.0048957668428,1701517.166186046,1942.2364621100285,2649200.346094213,1.2939574464997108,1.5569636314821322,342.2773291719334,True,-7.8193186323496775
baseline_6p,9,6,range,True,-3034.899944914067,2.77,12,1476.023464489866,1636440.6677495688,2109.740750334973,3134864.7037893063,1.4293409292542165,1.915660473104942,479.9556070806161,True,-2.2940221353633206
baseline_6p,10,6,range,True,-2389.516790668878,3.75,14,1200.8137852829745,994578.3922345717,1495.5730683232703,1504979.143493161,1.2454662718340088,1.5131830283501786,280.9299420381918,True,-27.44564879616022
baseline_6p,11,6,range,True,-2263.1880790030013,11.4,17,1159.7867115330764,822043.8153648963,1344.1767349544411,1217488.4730446865,1.1589861494253775,1.481050584273609,164.87567924978265,True,-17.2192432067352
baseline_6p,12,6,range,True,-2320.899555952537,5.66,14,1179.9305862249284,958498.7364817102,1468.3023396204046,1425640.826903406,1.244397218583928,1.487368498926143,272.19252926156236,True,-3.2127745989755567
baseline_6p,13,6,range,True,-2618.658350120734,8.49,14,1409.8715276485968,1548808.9112191438,1692.4764129730079,1968304.4250917947,1.2004472604647485,1.270850400481261,230.6033483397921,True,-10.22553788986761
baseline_6p,14,6,range,True,-2428.098101584771,6.97,15,1270.4731366854846,1276023.6387985854,1531.8591569344317,1585394.3973021861,1.205739116161773,1.2424490809550226,255.87925969818872,True,-3.043391531882662
baseline_6p,15,6,range,True,-2910.6385231142676,3.9,14,1488.248552126066,1676098.6236893302,2022.9045031125554,2846356.051881453,1.3592517864188052,1.698203203351018,413.0239129910674,True,-8.024381633197663
baseline_6p,16,6,range,True,-2582.987848289639,8.72,13,1342.364489140356,1405178.4830588005,1684.5824401260238,1931959.2800066948,1.2549366835566564,1.3748853283044835,268.11360652620556,True,-6.576834785862275
baseline_6p,17,6,range,True,-2276.586168973537,5.37,14,1147.386132280857,904311.4782070465,1407.312591904841,1316756.2380553256,1.226537912836094,1.4560870560506673,260.1375007075627,True,-4.668093512914766
baseline_6p,18,6,range,True,-2461.0658868620717,10.29,15,1336.3167097199153,1219271.9626693493,1546.3314508157434,1625920.7052571934,1.1571594065749924,1.3335176687714274,247.64073911987862,True,-29.026293156478005
baseline_6p,19,6,range,True,-2488.6045282717473,9.41,14,1317.1952706128673,1371784.1433749604,1601.2402743683074,1742997.0875567524,1.2156438077881035,1.270605944801569,261.671160975602,True,-9.425834491368278
baseline_6p,20,6,range,True,-2677.820236326871,6.58,13,1418.6402083922587,1552677.250797781,1799.0356196570217,2218441.548425256,1.2681408640573244,1.428784731202443,299.59403374819544,True,-11.450397269714813
baseline_6p,21,6,range,True,-2544.9064333510228,3.96,15,1416.573986713194,1575165.8770574508,1619.5645297435544,1798204.4708059153,1.14329681678071,1.1415968927444773,253.19019216895478,True,-6.0645656496128595
baseline_6p,22,6,range,True,-2808.4975808105155,4.76,14,1464.6935641710638,1633704.0658027055,1912.1428435226899,2533246.9149134117,1.3054900289705702,1.550615541664043,349.6692324656308,True,-6.952785582789147
baseline_6p,23,6,range,True,-2662.851670894142,4.02,14,1383.2824499706524,1393336.8041491818,1760.5709395919973,2128123.7795731192,1.2727486997535098,1.5273577596140677,293.79684426124845,True,-30.42972777603839
baseline_6p,24,6,range,True,-2161.5672353108957,11.37,15,1020.759521940633,721997.8647406592,1256.1238220518503,1054125.6868232894,1.2305776189711664,1.4600121943600624,209.10541915167596,True,-20.102230577868568
baseline_6p,25,6,range,True,-2317.5314086795156,11.9,15,1134.2461847036552,964917.867088004,1474.829399962235,1439526.4494258203,1.3002727448870053,1.4918642285794985,256.58247889877885,True,-7.7715613264902
baseline_6p,26,6,range,True,-2357.1221509461525,12.58,21,1289.5265777936966,1034712.7837248343,1466.9937843825476,1444661.9969852283,1.1376219844126725,1.3961961422614582,144.23498656147308,True,-9.138017246356867
baseline_6p,27,6,range,True,-2605.362193627318,4.2,14,1468.4854718052375,1681021.1820355968,1683.5445480378326,1949933.4354003172,1.146449577038184,1.159969580537401,261.6424754284551,True,-4.048548920242183
baseline_6p,28,6,range,True,-1714.6336624772478,4.75,20,777.5389708978662,565137.0870973935,885.6659329965189,536920.9941648843,1.1390630774092168,0.9500721266101467,137.50873503064713,True,-2.8912538458348536
baseline_6p,29,6,range,True,-2797.281353626955,5.13,14,1481.9835434042539,1678119.661208939,1906.0803170452562,2509804.819766084,1.286168342103727,1.4956053955997324,334.72861527294344,True,-6.466430051942098
baseline_6p,30,6,range,True,-2977.725016134355,5.27,15,1491.2797687656025,1579871.0717508264,2053.4057552861254,2959673.3977227947,1.3769420053125372,1.8733638780048423,432.3779592087765,True,-3.081626407351905
baseline_6p,31,6,range,True,-2628.6712901814712,8.21,13,1444.2361559384203,1625085.6884379596,1701.7051356800157,1993766.1593265166,1.1782734621917148,1.2268683267052425,225.39879393344864,True,-11.744906972401395
