run,day,n_players,num_households,base_h2_price_eur,import_factor,pi_res,pi_peak,v_mip,v_chp,gap,eps_bound,time_mip_s,time_cg_s,r_sym,reserve_revenue,pool_standalone_sum,pool_gain_abs,pool_gain_ratio,mech_no_pooling,mech_time_only,mech_full,mech_gain_time,mech_gain_direction,mech_share_direction,n_binding_up,n_binding_dn,settlement_imbalance,peak_value,peak_cost,sum_individual_peaks,coincidence_factor,peak_netting_saving,schema_checks,converged,vstar_is_lower_bound,cost_of_stability_vstar,weak_eps,time_rowgen_s,n_coalitions
baseline_6p,18,6,700.0,3.333333333333333,1.5,,,-1904.161448242506,-1904.5482095700077,-0.3867613275015173,0.0644602212502529,0.14,32.68,,,,,,,,,,,,,,,,,,,,,True,False,0.0,0.0,2.74,16
baseline_6p,19,6,700.0,3.333333333333333,1.5,,,-1949.2288217680991,-1949.9112331603203,-0.682411392221411,0.1137352320369018,0.12,15.34,,,,,,,,,,,,,,,,,,,,,True,False,-1.1191048088221579e-13,-1.8651746813702633e-14,2.24,13
baseline_6p,20,6,700.0,3.333333333333333,1.5,,,-2092.522198332409,-2094.627463961173,-2.105265628763391,0.3508776047938984,0.39,20.52,,,,,,,,,,,,,,,,,,,,,True,False,-4.5297099404706397e-13,-7.549516567451064e-14,2.34,15
baseline_6p,21,6,700.0,3.333333333333333,1.5,,,-1932.520705112021,-1935.796704558093,-3.275999446072092,0.545999907678682,0.62,15.06,,,,,,,,,,,,,,,,,,,,,True,False,1.1546319456101628e-13,1.924386576016938e-14,3.03,13
baseline_6p,22,6,700.0,3.333333333333333,1.5,,,-2175.2076779284293,-2178.88043722274,-3.672759294310709,0.6121265490517848,0.35,16.04,,,,,,,,,,,,,,,,,,,,,True,False,-2.255973186038318e-13,-3.7599553100638643e-14,2.21,14
baseline_6p,23,6,700.0,3.333333333333333,1.5,,,-2029.7282223171253,-2031.2867830602104,-1.558560743084854,0.2597601238474756,0.13,30.0,,,,,,,,,,,,,,,,,,,,,True,False,-1.1191048088221579e-13,-1.8651746813702633e-14,1.97,14
baseline_6p,24,6,700.0,3.333333333333333,1.5,,,-1637.6482598835328,-1638.9290769972351,-1.2808171137023692,0.2134695189503948,0.14,21.53,,,,,,,,,,,,,,,,,,,,,True,False,1.1546319456101628e-13,1.924386576016938e-14,1.76,13
baseline_6p,25,6,700.0,3.333333333333333,1.5,,,-1748.6067056268955,-1748.761649316397,-0.1549436895018061,0.025823948250301,0.59,32.43,,,,,,,,,,,,,,,,,,,,,True,False,-6.217248937900878e-14,-1.0362081563168127e-14,3.11,16
baseline_6p,26,6,700.0,3.333333333333333,1.5,,,-1773.8840061319406,-1774.5205056985687,-0.6364995666281175,0.1060832611046862,0.26,32.33,,,,,,,,,,,,,,,,,,,,,True,False,1.7763568394002505e-15,2.96059473233375e-16,2.01,14
baseline_6p,27,6,700.0,3.333333333333333,1.5,,,-2019.5929621695527,-2023.6228209472488,-4.029858777696063,0.6716431296160105,0.55,15.7,,,,,,,,,,,,,,,,,,,,,True,False,2.291500322826323e-13,3.8191672047105385e-14,2.59,14
baseline_6p,28,6,700.0,3.333333333333333,1.5,,,-1148.264760081768,-1149.0757078133445,-0.8109477315763343,0.1351579552627223,0.13,29.62,,,,,,,,,,,,,,,,,,,,,True,False,5.684341886080803e-14,9.473903143468002e-15,1.88,14
baseline_6p,29,6,700.0,3.333333333333333,1.5,,,-2150.6033255901084,-2155.977197699336,-5.37387210922725,0.895645351537875,0.29,17.42,,,,,,,,,,,,,,,,,,,,,True,False,-3.392841563254479e-13,-5.6547359387574644e-14,2.6,13
baseline_6p,30,6,700.0,3.333333333333333,1.5,,,-2310.45433658868,-2311.0967533321123,-0.642416743432932,0.107069457238822,0.14,25.59,,,,,,,,,,,,,,,,,,,,,True,False,-2.255973186038318e-13,-3.7599553100638643e-14,1.7,14
baseline_6p,31,6,700.0,3.333333333333333,1.5,,,-2050.090794573563,-2050.909376098976,-0.8185815254128102,0.1364302542354683,0.13,21.6,,,,,,,,,,,,,,,,,,,,,True,False,-1.758593271006248e-13,-2.930988785010413e-14,3.02,19
